Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-6098.77	12205.54	178745356.22	237.02	5.0301,1.3617,0.1286,0.1899
sym_mig	Round_1_Replicate_2	-3574.9	7157.8	643900.58	214.78	0.353,4.1935,0.9372,0.3109
sym_mig	Round_1_Replicate_3	-2439.35	4886.7	105040.54	145.63	2.4412,0.7354,0.6247,3.262
sym_mig	Round_2_Replicate_1	-985.0	1978.0	2133.28	156.65	1.7642,0.3496,0.2805,11.2077
sym_mig	Round_2_Replicate_2	-1047.0	2102.0	2817.17	498.35	0.5204,0.1398,1.0681,2.8547
sym_mig	Round_2_Replicate_3	-635.76	1279.52	856.08	151.73	1.1007,1.1119,0.1449,3.82
sym_mig	Round_3_Replicate_1	-497.91	1003.82	723.72	134.81	1.2475,1.0487,0.072,5.0369
sym_mig	Round_3_Replicate_2	-524.35	1056.7	783.66	126.31	0.7836,1.0239,0.0865,10.5163
sym_mig	Round_3_Replicate_3	-488.11	984.22	688.36	133.42	1.175,1.0293,0.0753,5.6391
