Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
sym_mig	Round_1_Replicate_1	-3061.37	6130.74	517183.78	517.8	1.1198,0.1052,4.5124,2.7399
sym_mig	Round_1_Replicate_2	-8892.56	17793.12	2.56322086172e+11	59.82	6.3706,2.6747,2.1679,6.0985
sym_mig	Round_1_Replicate_3	-7047.22	14102.44	4256160489.44	251.6	0.5149,2.4009,4.8249,0.2021
sym_mig	Round_2_Replicate_1	-1293.49	2594.98	5394.28	487.33	0.6117,0.1205,1.3461,11.7394
sym_mig	Round_2_Replicate_2	-1186.44	2380.88	4082.28	720.15	0.3926,0.0843,1.8226,6.2115
sym_mig	Round_2_Replicate_3	-1162.23	2332.46	4137.25	446.91	0.5998,0.1515,1.145,3.7331
sym_mig	Round_3_Replicate_1	-470.2	948.4	449.53	1046.15	0.1112,0.0845,1.0689,1.1523
sym_mig	Round_3_Replicate_2	-859.65	1727.3	2147.15	129.22	1.0304,0.3088,0.0833,28.5349
sym_mig	Round_3_Replicate_3	-456.46	920.92	397.07	621.48	0.1981,0.164,0.631,1.8222
