Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_3_Replicate_9	-1100.04	2216.08	4838.39	261.92	0.6862,3.1407,0.9661,0.2125,1.3211,0.8735,1.4679,0.5923
anc_asym_mig_size	Round_3_Replicate_10	-678.47	1372.94	896.44	512.03	0.2266,0.386,0.229,0.3031,2.8808,0.9178,0.8144,0.1608
anc_asym_mig_size	Round_3_Replicate_11	-628.32	1272.64	918.3	586.34	0.607,0.4112,0.1601,0.1855,11.0561,5.4897,0.7533,0.1888
anc_asym_mig_size	Round_3_Replicate_12	-833.88	1683.76	2472.14	689.16	0.1378,0.7369,0.2209,0.2727,6.4496,10.0914,1.6278,0.3266
anc_asym_mig_size	Round_3_Replicate_13	-726.59	1469.18	1437.96	686.16	0.3239,2.8105,0.2532,0.1979,0.7408,6.1541,7.8439,0.2319
anc_asym_mig_size	Round_3_Replicate_14	-1692.75	3401.5	42931.38	399.67	0.254,3.1144,0.6078,0.1158,5.7782,5.2753,5.4284,0.6397
anc_asym_mig_size	Round_3_Replicate_15	-2276.17	4568.34	1972261.01	378.56	0.6885,0.6754,0.26,0.2351,2.2297,0.7907,2.2602,1.3415
anc_asym_mig_size	Round_3_Replicate_16	-2155.8	4327.6	365926.14	552.71	0.2057,0.7239,0.2082,0.1216,2.6444,0.9239,5.6723,0.6986
anc_asym_mig_size	Round_3_Replicate_17	-1864.37	3744.74	35805.11	287.73	0.3724,0.7503,1.5527,0.128,9.7056,6.1596,1.238,0.7102
anc_asym_mig_size	Round_3_Replicate_18	-789.75	1595.5	1325.66	459.04	0.887,0.3442,0.3669,0.168,7.7483,6.6031,0.5358,0.1813
anc_asym_mig_size	Round_3_Replicate_19	-1014.15	2044.3	2396.42	544.18	0.5485,0.432,0.4194,0.2519,11.0493,1.4622,7.7586,0.1685
anc_asym_mig_size	Round_3_Replicate_20	-940.41	1896.82	1525.0	418.43	0.1788,0.8605,1.6404,0.1734,2.3056,2.2205,4.9264,0.1825
anc_asym_mig_size	Round_3_Replicate_21	-1096.84	2209.68	2303.53	391.86	0.0723,0.4398,1.5672,0.3107,6.5668,0.7606,5.3406,0.3857
anc_asym_mig_size	Round_3_Replicate_22	-1398.39	2812.78	3280.51	316.78	0.3359,0.8238,0.1468,1.1585,1.4038,2.5957,7.3628,0.1789
anc_asym_mig_size	Round_3_Replicate_23	-1141.81	2299.62	3303.03	149.75	0.9309,1.3467,1.9117,0.9557,0.8611,1.228,5.6784,0.4174
anc_asym_mig_size	Round_3_Replicate_24	-1306.18	2628.36	4753.03	268.85	0.6908,0.8537,0.1984,1.164,8.1313,2.063,0.9233,0.5591
anc_asym_mig_size	Round_3_Replicate_25	-873.53	1763.06	1464.19	609.22	0.0713,0.4261,0.2372,0.358,7.0867,2.8008,3.8994,0.2008
anc_asym_mig_size	Round_3_Replicate_26	-763.71	1543.42	1227.08	266.86	0.4967,0.6177,0.5925,0.7292,2.7342,1.4247,5.2178,0.5549
anc_asym_mig_size	Round_3_Replicate_27	-784.99	1585.98	1480.99	339.84	0.4745,2.3396,0.7004,0.1819,2.0161,2.4586,1.2187,0.267
anc_asym_mig_size	Round_3_Replicate_28	-1265.05	2546.1	18700.42	253.55	0.6491,3.1641,0.5299,0.4844,8.6417,12.9598,5.3245,1.4291
anc_asym_mig_size	Round_3_Replicate_29	-1315.45	2646.9	3347.79	333.59	0.0911,0.321,1.3361,0.6906,5.9314,6.0638,0.5186,0.4009
anc_asym_mig_size	Round_3_Replicate_30	-1175.96	2367.92	2905.26	268.52	0.7784,0.3444,0.8414,1.1217,3.6107,0.9271,2.1167,0.4596
anc_asym_mig_size	Round_4_Replicate_1	-613.22	1242.44	866.83	550.62	0.2993,0.7531,0.1766,0.151,8.9492,4.3836,0.3889,0.1641
anc_asym_mig_size	Round_4_Replicate_2	-634.4	1284.8	886.11	497.99	0.5652,0.3792,0.2279,0.2298,7.1358,10.2542,0.6422,0.2329
anc_asym_mig_size	Round_4_Replicate_3	-614.8	1245.6	905.23	637.21	0.346,0.5406,0.1515,0.1328,11.6004,3.6113,1.1863,0.1493
anc_asym_mig_size	Round_4_Replicate_4	-610.68	1237.36	867.06	500.82	0.9114,0.7888,0.1607,0.1745,7.7831,3.3659,0.548,0.1777
anc_asym_mig_size	Round_4_Replicate_5	-645.03	1306.06	821.1	618.0	0.4174,0.3503,0.1681,0.1629,8.5679,6.6757,1.3459,0.1381
anc_asym_mig_size	Round_4_Replicate_6	-610.77	1237.54	835.22	609.49	0.4178,0.4685,0.1414,0.1346,13.0925,6.6683,0.4151,0.1402
anc_asym_mig_size	Round_4_Replicate_7	-718.65	1453.3	1039.06	599.26	0.8239,0.3826,0.1227,0.2463,13.5095,5.7031,1.2519,0.1716
anc_asym_mig_size	Round_4_Replicate_8	-660.39	1336.78	979.44	533.83	0.6661,0.2211,0.2429,0.2607,8.5599,8.3842,0.7861,0.255
anc_asym_mig_size	Round_4_Replicate_9	-700.95	1417.9	1272.17	669.01	0.7661,0.2207,0.2227,0.1323,9.3202,4.4173,0.5169,0.1769
anc_asym_mig_size	Round_4_Replicate_10	-671.28	1358.56	896.65	466.18	1.0897,0.5874,0.1397,0.2588,5.904,2.4362,1.2346,0.1747
anc_asym_mig_size	Round_4_Replicate_11	-777.68	1571.36	1060.12	597.97	0.5109,0.4349,0.1126,0.2518,18.0813,5.3942,1.0094,0.1326
anc_asym_mig_size	Round_4_Replicate_12	-671.48	1358.96	981.2	524.48	0.43,0.2628,0.2567,0.2767,6.9454,7.9052,0.8721,0.2622
anc_asym_mig_size	Round_4_Replicate_13	-611.56	1239.12	822.11	544.9	0.6207,0.4659,0.1518,0.1613,6.5992,5.9347,0.6168,0.1555
anc_asym_mig_size	Round_4_Replicate_14	-740.78	1497.56	1043.77	482.55	0.6066,0.3666,0.1482,0.312,6.6016,8.2394,1.3163,0.1961
anc_asym_mig_size	Round_4_Replicate_15	-608.98	1233.96	856.75	545.11	0.9281,0.5855,0.1579,0.1494,11.979,4.4931,1.4935,0.1595
anc_asym_mig_size	Round_4_Replicate_16	-611.8	1239.6	823.56	601.19	0.3753,0.4723,0.146,0.1286,6.2769,6.785,0.3875,0.1301
anc_asym_mig_size	Round_4_Replicate_17	-784.85	1585.7	2187.58	610.68	1.0812,0.303,0.1567,0.1993,8.8397,6.4042,1.2333,0.2868
anc_asym_mig_size	Round_4_Replicate_18	-620.47	1256.94	795.36	595.33	1.0597,0.3349,0.1311,0.1608,13.8372,8.2015,0.3687,0.1417
anc_asym_mig_size	Round_4_Replicate_19	-617.96	1251.92	828.62	673.61	0.4227,0.3772,0.1152,0.1317,10.1965,11.2638,1.417,0.1273
anc_asym_mig_size	Round_4_Replicate_20	-631.18	1278.36	814.57	652.6	1.0425,0.2463,0.1188,0.164,12.288,10.1736,1.0279,0.135
anc_asym_mig_size	Round_4_Replicate_21	-606.08	1228.16	859.6	571.69	0.3884,0.755,0.1245,0.1132,9.7418,5.6089,0.9809,0.124
anc_asym_mig_size	Round_4_Replicate_22	-680.73	1377.46	944.26	472.69	1.189,0.241,0.2217,0.3372,6.9805,6.2214,0.6528,0.2518
anc_asym_mig_size	Round_4_Replicate_23	-666.2	1348.4	1058.55	791.92	0.7777,0.3044,0.1151,0.1694,16.7367,3.9735,0.6919,0.1603
