Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-913.74	1843.48	2192.61	48.44	0.9835,12.5709,5.6657,1.4185,0.1833,12.5188,2.5648,1.9741
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-1000.39	2016.78	1832.03	93.12	0.7823,27.5415,6.2465,1.0329,0.0665,3.1239,1.0234,0.2368
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-1077.92	2171.84	7150.13	148.17	0.7662,9.0817,0.8364,0.7753,0.1332,3.2797,0.8241,0.9463
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-1198.99	2413.98	2549.65	77.88	0.0671,27.8703,1.0651,3.6708,0.2801,3.2225,1.1288,0.6528
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_9	-968.95	1953.9	2424.19	74.84	0.6941,9.7653,3.6206,0.8438,0.0792,3.9467,7.3816,0.4443
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_10	-1578.51	3173.02	13414.1	72.71	0.3712,6.2858,3.0306,3.2735,0.1879,1.1032,3.7621,0.2254
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_11	-1083.46	2182.92	2354.06	96.01	0.1025,8.0715,3.591,0.7729,0.2251,1.3096,5.6083,0.4726
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_12	-1052.03	2120.06	2046.17	40.67	0.0771,5.2817,5.5837,3.5511,0.1371,13.9621,2.6708,0.5112
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_13	-1378.47	2772.94	3621.17	63.8	0.7016,18.9788,0.9404,4.5834,0.3095,5.2665,2.915,0.607
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_14	-1173.66	2363.32	4807.58	90.07	0.0725,3.4486,1.0231,3.3948,0.0311,1.9855,1.9313,0.6408
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_15	-1033.5	2083.0	3659.71	68.14	0.2564,5.281,5.3391,1.301,0.0615,4.6504,2.5974,1.4669
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_16	-1573.35	3162.7	8497.23	66.46	0.2077,22.8572,4.923,4.1505,0.3133,0.8533,1.4256,1.4754
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_17	-925.3	1866.6	3628.56	82.6	0.3003,7.0887,3.0382,1.2912,0.1383,2.0418,4.6263,1.9294
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_18	-700.9	1417.8	1028.85	78.97	0.4169,14.7414,2.1074,1.9098,0.3363,4.7348,9.2764,1.4227
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_19	-1450.99	2917.98	45120.44	114.53	0.0757,3.9403,0.8772,2.1756,0.0576,0.8495,1.1707,2.1391
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_20	-1250.43	2516.86	3385.07	61.13	0.3271,21.445,5.0306,0.9641,0.2299,9.968,4.2462,0.3929
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_21	-813.91	1643.82	1329.71	127.65	0.4391,27.8703,2.2365,0.9147,0.1992,1.4544,2.0822,0.4623
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_22	-753.13	1522.26	1038.13	76.77	0.4268,9.288,1.8879,2.8042,0.0469,1.2186,5.2678,0.3232
