Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_3	-1684.33	3386.66	5435.11	55.54	0.1468,0.069,0.5688,3.9709,1.0078,1.7691,17.9705,0.6071,0.8943
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_4	-1945.3	3908.6	284020.24	100.22	0.1155,0.013,2.3009,0.6457,0.9191,0.2465,5.2211,0.1083,2.8901
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_5	-1320.56	2659.12	3006.92	72.03	0.4767,0.0301,0.859,4.0428,1.0501,1.4318,9.5424,0.6306,1.0834
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_6	-2293.69	4605.38	496020.68	55.24	0.156,0.1091,0.669,6.3514,0.4204,0.9032,7.1375,0.1307,4.2202
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_7	-988.87	1995.74	2262.78	73.96	0.0681,0.0535,1.2051,3.3855,1.6025,1.3738,9.1541,0.1145,1.6668
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_8	-981.77	1981.54	1865.92	37.74	0.0913,0.0558,2.2308,6.359,3.5958,0.5023,28.0679,0.1916,1.2359
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_9	-1260.85	2539.7	3176.09	61.09	0.1302,0.0132,4.1943,3.1654,1.7566,3.6276,13.2434,0.0738,1.0292
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_10	-782.57	1583.14	1949.34	62.05	0.1016,0.0271,2.4211,3.1522,3.4142,0.5191,14.9197,0.4949,3.3275
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_11	-1231.92	2481.84	3559.16	92.34	0.0593,0.0169,1.5618,2.6122,4.6604,0.3229,9.4661,0.1105,0.5159
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_12	-936.53	1891.06	4587.21	72.89	0.1253,0.0221,2.6465,1.7396,2.4042,1.625,7.8866,0.2225,3.8313
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_13	-2224.22	4466.44	987190.24	85.41	0.1432,0.0212,0.5861,2.2923,1.7115,1.6482,6.3119,0.0892,4.1715
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_14	-936.74	1891.48	1397.06	38.42	0.6641,0.1075,2.7931,3.8145,1.4331,0.5756,26.3368,0.5248,1.3053
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_15	-2246.04	4510.08	217355.05	68.81	0.0453,0.0766,0.6906,1.5327,0.592,2.3427,17.9705,0.2152,3.906
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_16	-2661.01	5340.02	24751.46	34.32	0.3919,0.0133,4.1104,6.4563,0.4879,0.6549,28.0679,0.879,0.5596
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_17	-848.1	1714.2	1388.95	32.97	0.063,0.0143,3.3504,6.3152,1.3327,0.376,28.0679,0.2919,1.9588
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_18	-1747.15	3512.3	7719.58	46.0	0.496,0.0669,0.7667,5.0776,0.4526,1.2689,20.3755,0.1115,1.6775
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_19	-2271.33	4560.66	162699763.38	44.75	0.5648,0.12,0.4238,6.7173,0.6011,0.2547,5.174,0.1091,8.3886
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_20	-2088.02	4194.04	13065.09	53.65	0.6537,0.0122,0.5527,5.5796,2.007,3.7315,23.7111,1.1348,0.4894
