Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_4_Replicate_3	-701.73	1419.46	1015.27	297.94	0.5241,0.7528,4.2804,0.2736,0.0924,0.0965,0.7439,0.0554
sec_contact_asym_mig_size	Round_4_Replicate_4	-712.83	1441.66	970.4	358.63	0.3846,0.438,3.9945,0.3121,0.0958,0.0972,0.4604,0.0516
sec_contact_asym_mig_size	Round_4_Replicate_5	-766.66	1549.32	1043.91	394.89	0.307,0.2912,3.2815,0.6232,0.0462,0.0791,0.303,0.0338
sec_contact_asym_mig_size	Round_4_Replicate_6	-801.07	1618.14	1139.6	266.88	0.78,0.6001,2.0514,0.5825,0.1043,0.0695,0.6726,0.0638
sec_contact_asym_mig_size	Round_4_Replicate_7	-846.71	1709.42	2255.99	292.02	0.5702,0.4735,2.1941,0.6222,0.0796,0.0431,1.0167,0.0399
sec_contact_asym_mig_size	Round_4_Replicate_8	-763.61	1543.22	1361.57	368.49	0.3521,0.3715,4.6707,0.4031,0.0788,0.0537,0.5375,0.0457
sec_contact_asym_mig_size	Round_4_Replicate_9	-793.96	1603.92	1137.38	294.06	0.4503,0.62,4.3136,0.5458,0.0446,0.081,0.5981,0.0716
sec_contact_asym_mig_size	Round_4_Replicate_10	-951.12	1918.24	2932.17	330.27	0.3695,0.4026,2.2559,0.5639,0.0849,0.1122,1.0419,0.0471
sec_contact_asym_mig_size	Round_4_Replicate_11	-792.88	1601.76	1433.95	339.0	0.5717,0.3406,1.509,0.2362,0.1124,0.1134,0.6924,0.101
sec_contact_asym_mig_size	Round_4_Replicate_12	-985.9	1987.8	3017.99	363.14	0.3367,0.3727,1.5081,0.2492,0.041,0.0485,0.8264,0.1136
sec_contact_asym_mig_size	Round_4_Replicate_13	-678.2	1372.4	1059.09	416.52	0.2949,0.3662,4.4047,0.2295,0.1158,0.0735,0.4257,0.0288
sec_contact_asym_mig_size	Round_4_Replicate_14	-732.33	1480.66	1140.44	385.04	0.3551,0.3293,2.0184,0.2691,0.0737,0.1105,0.4613,0.0725
sec_contact_asym_mig_size	Round_4_Replicate_15	-827.1	1670.2	1161.18	310.64	0.3503,0.6474,2.0388,0.5088,0.0527,0.1111,0.4446,0.097
sec_contact_asym_mig_size	Round_4_Replicate_16	-880.57	1777.14	2905.93	378.19	0.3756,0.3874,1.8864,0.2124,0.0621,0.0534,0.842,0.04
sec_contact_asym_mig_size	Round_4_Replicate_17	-815.08	1646.16	1205.16	320.71	0.3448,0.5836,2.7166,0.6711,0.0761,0.0536,0.4959,0.0475
sec_contact_asym_mig_size	Round_4_Replicate_18	-805.1	1626.2	1658.31	312.39	0.3871,0.6116,4.5232,0.4008,0.0399,0.0666,0.7828,0.0579
sec_contact_asym_mig_size	Round_4_Replicate_19	-808.73	1633.46	1095.89	260.9	0.623,0.6534,4.7129,0.5884,0.0824,0.114,0.7039,0.0924
sec_contact_asym_mig_size	Round_4_Replicate_20	-776.78	1569.56	1170.74	310.15	0.4316,0.5624,4.9643,0.7397,0.0619,0.0942,0.6191,0.0335
sec_contact_asym_mig_size	Round_4_Replicate_21	-1106.39	2228.78	3795.26	331.03	0.3567,0.2922,3.6261,0.3781,0.097,0.0474,1.0192,0.103
sec_contact_asym_mig_size	Round_4_Replicate_22	-858.07	1732.14	1307.58	317.6	0.6379,0.2836,2.9509,0.4194,0.0426,0.1402,0.4383,0.0872
sec_contact_asym_mig_size	Round_4_Replicate_23	-709.13	1434.26	1038.02	294.1	0.552,0.6408,1.7969,0.3321,0.098,0.0973,0.8165,0.0972
sec_contact_asym_mig_size	Round_4_Replicate_24	-952.54	1921.08	2496.25	336.59	0.3858,0.3233,1.8728,0.3932,0.0853,0.0958,1.0045,0.0854
sec_contact_asym_mig_size	Round_4_Replicate_25	-749.42	1514.84	1013.3	320.62	0.4689,0.5389,2.9596,0.3202,0.055,0.1339,0.5301,0.0885
sec_contact_asym_mig_size	Round_4_Replicate_26	-911.21	1838.42	1357.86	291.56	0.411,0.5647,2.8496,0.6604,0.0985,0.136,0.4154,0.1082
sec_contact_asym_mig_size	Round_4_Replicate_27	-802.3	1620.6	1326.33	345.96	0.5681,0.2874,1.6036,0.3253,0.0709,0.0588,0.4524,0.0808
sec_contact_asym_mig_size	Round_4_Replicate_28	-890.76	1797.52	1616.81	340.9	0.3879,0.291,3.7714,0.3024,0.0503,0.1601,0.6346,0.1257
sec_contact_asym_mig_size	Round_4_Replicate_29	-766.8	1549.6	1401.97	414.16	0.3054,0.2732,1.9379,0.2868,0.1115,0.058,0.4454,0.0592
sec_contact_asym_mig_size	Round_4_Replicate_30	-798.54	1613.08	1108.5	316.22	0.408,0.5647,2.0289,0.7615,0.1067,0.0626,0.4962,0.0389
sec_contact_asym_mig_size	Round_4_Replicate_31	-859.64	1735.28	1445.8	276.16	0.4197,0.5553,3.4014,0.8487,0.1045,0.0773,0.8319,0.0898
sec_contact_asym_mig_size	Round_4_Replicate_32	-914.91	1845.82	1498.32	307.74	0.7739,0.3335,3.2947,0.3014,0.0834,0.0996,0.4259,0.0925
sec_contact_asym_mig_size	Round_4_Replicate_33	-832.47	1680.94	1273.49	307.5	0.7185,0.3483,4.5231,0.6505,0.0731,0.1258,0.5414,0.0393
sec_contact_asym_mig_size	Round_4_Replicate_34	-767.81	1551.62	1215.38	288.12	0.6246,0.5202,3.1187,0.3302,0.0655,0.0989,0.805,0.1001
sec_contact_asym_mig_size	Round_4_Replicate_35	-921.48	1858.96	1374.83	291.33	0.3053,0.5377,1.9451,0.6933,0.034,0.0636,0.3569,0.1666
sec_contact_asym_mig_size	Round_4_Replicate_36	-832.76	1681.52	1303.34	281.85	0.7597,0.6899,5.4181,0.3183,0.1003,0.099,0.5663,0.0467
sec_contact_asym_mig_size	Round_4_Replicate_37	-928.39	1872.78	1986.53	334.24	0.3353,0.4109,2.9867,0.2945,0.1249,0.0883,0.8549,0.1238
sec_contact_asym_mig_size	Round_4_Replicate_38	-903.6	1823.2	2383.68	336.7	0.3412,0.4387,4.3577,0.8404,0.1378,0.08,0.8305,0.0342
sec_contact_asym_mig_size	Round_4_Replicate_39	-846.72	1709.44	1897.42	304.64	0.4115,0.5104,5.3706,0.4625,0.1172,0.0649,0.941,0.0683
sec_contact_asym_mig_size	Round_4_Replicate_40	-783.11	1582.22	1349.36	341.99	0.5265,0.3322,2.4728,0.2781,0.0921,0.0969,0.611,0.0772
