Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_3_Replicate_11	-1152.43	2318.86	10972.85	468.32	2.5678,0.0577,0.2191,0.2333,0.7441,1.3636,0.3234
anc_sym_mig_size	Round_3_Replicate_12	-1309.19	2632.38	6125.18	505.24	1.1509,0.1041,0.337,0.0796,0.8675,0.3007,0.1552
anc_sym_mig_size	Round_3_Replicate_13	-882.84	1779.68	3276.11	784.84	2.8233,0.0939,0.1104,0.1201,4.3086,0.3731,0.1907
anc_sym_mig_size	Round_3_Replicate_14	-872.15	1758.3	3437.65	486.76	1.045,0.1216,0.2465,0.2491,0.4808,0.3101,0.241
anc_sym_mig_size	Round_3_Replicate_15	-622.8	1259.6	998.73	471.53	2.5796,0.2017,0.1211,0.26,1.2724,0.966,0.132
anc_sym_mig_size	Round_3_Replicate_16	-632.65	1279.3	918.03	650.91	1.2155,0.099,0.0457,0.2025,1.376,0.4155,0.0448
anc_sym_mig_size	Round_3_Replicate_17	-754.7	1523.4	1568.1	545.19	1.6239,0.1009,0.0902,0.1602,0.9625,0.7893,0.0632
anc_sym_mig_size	Round_3_Replicate_18	-851.56	1717.12	1338.43	409.14	7.0949,0.0965,0.1624,0.7294,1.4379,0.6632,0.115
anc_sym_mig_size	Round_3_Replicate_19	-667.01	1348.02	1094.51	470.12	8.1443,0.3737,0.2543,0.1776,2.7647,0.2254,0.1989
anc_sym_mig_size	Round_3_Replicate_20	-888.45	1790.9	4305.73	442.2	1.3619,0.1099,0.3096,0.3397,1.493,0.5356,0.4421
anc_sym_mig_size	Round_3_Replicate_21	-592.43	1198.86	793.69	520.27	3.5498,0.2828,0.1029,0.1484,2.8359,0.6973,0.1056
anc_sym_mig_size	Round_3_Replicate_22	-2831.43	5676.86	9961286.85	527.92	2.432,0.3581,0.1865,0.0746,3.0736,3.3623,0.6992
anc_sym_mig_size	Round_3_Replicate_23	-1025.6	2065.2	2301.2	468.81	1.73,0.1712,0.3435,0.1141,3.1894,1.349,0.1103
anc_sym_mig_size	Round_3_Replicate_24	-1246.02	2506.04	5983.52	776.87	1.41,0.4563,0.071,0.0661,3.7528,0.5206,0.1578
anc_sym_mig_size	Round_3_Replicate_25	-631.81	1277.62	836.69	526.05	7.2319,0.5067,0.0878,0.1705,1.5727,0.2404,0.1083
anc_sym_mig_size	Round_3_Replicate_26	-2589.44	5192.88	1151296.53	687.37	6.7419,0.0695,0.0961,0.0866,0.5828,0.6876,0.3972
anc_sym_mig_size	Round_3_Replicate_27	-1128.67	2271.34	5810.65	397.71	3.2972,0.4702,0.4627,0.1454,0.8966,0.5092,0.3925
anc_sym_mig_size	Round_3_Replicate_28	-1468.91	2951.82	12825.49	764.9	3.2643,0.0782,0.0785,0.0564,1.2968,1.5186,0.1297
anc_sym_mig_size	Round_3_Replicate_29	-748.64	1511.28	1523.26	312.03	5.476,0.2214,0.4277,0.6233,3.7552,1.6991,0.5446
anc_sym_mig_size	Round_3_Replicate_30	-1442.28	2898.56	4763.75	421.73	1.6667,0.5984,0.0565,0.4855,5.7343,0.2276,0.1564
anc_sym_mig_size	Round_4_Replicate_1	-597.2	1208.4	822.93	595.94	2.1096,0.2869,0.0933,0.1092,4.9097,0.4748,0.0972
anc_sym_mig_size	Round_4_Replicate_2	-610.41	1234.82	911.35	484.74	2.4381,0.3103,0.1698,0.1865,3.1349,0.7489,0.1714
anc_sym_mig_size	Round_4_Replicate_3	-583.32	1180.64	762.94	584.02	2.7598,0.2254,0.0594,0.1098,1.6347,0.3302,0.0557
anc_sym_mig_size	Round_4_Replicate_4	-616.14	1246.28	1024.16	469.48	3.9596,0.4273,0.1638,0.1763,1.6181,0.5328,0.1687
anc_sym_mig_size	Round_4_Replicate_5	-604.02	1222.04	912.86	533.58	4.8262,0.2241,0.1157,0.1771,2.3031,0.5317,0.1272
anc_sym_mig_size	Round_4_Replicate_6	-598.72	1211.44	830.82	467.54	2.1947,0.493,0.103,0.1071,2.1297,0.8703,0.0882
anc_sym_mig_size	Round_4_Replicate_7	-600.74	1215.48	811.94	433.55	4.5622,0.4902,0.1565,0.159,5.8306,1.001,0.1504
anc_sym_mig_size	Round_4_Replicate_8	-598.5	1211.0	798.77	515.58	2.2811,0.2354,0.1074,0.1959,2.1216,0.6986,0.1121
anc_sym_mig_size	Round_4_Replicate_9	-596.67	1207.34	798.04	546.3	3.733,0.2009,0.1018,0.1712,2.8985,0.7023,0.1049
anc_sym_mig_size	Round_4_Replicate_10	-603.09	1220.18	882.16	489.57	6.0583,0.3962,0.1417,0.1858,1.6491,0.3675,0.1486
anc_sym_mig_size	Round_4_Replicate_11	-595.24	1204.48	806.39	516.47	2.4903,0.441,0.0934,0.1024,4.8638,0.8294,0.0939
anc_sym_mig_size	Round_4_Replicate_12	-619.03	1252.06	821.89	486.05	6.829,0.1952,0.1391,0.2429,3.0831,0.9531,0.1382
anc_sym_mig_size	Round_4_Replicate_13	-586.62	1187.24	782.05	546.04	7.2004,0.2631,0.078,0.1184,3.1513,0.715,0.0822
anc_sym_mig_size	Round_4_Replicate_14	-622.45	1258.9	965.65	543.66	5.7352,0.1874,0.1581,0.1708,4.0168,0.6894,0.1525
anc_sym_mig_size	Round_4_Replicate_15	-626.59	1267.18	1026.66	493.13	2.2021,0.2338,0.1633,0.1902,1.8844,0.749,0.1546
anc_sym_mig_size	Round_4_Replicate_16	-634.32	1282.64	1120.5	543.6	3.0845,0.4003,0.1101,0.0916,4.7429,0.8543,0.114
anc_sym_mig_size	Round_4_Replicate_17	-714.32	1442.64	928.45	402.61	2.3269,0.4415,0.0966,0.2562,3.7555,1.3378,0.1182
anc_sym_mig_size	Round_4_Replicate_18	-600.22	1214.44	852.87	525.8	2.195,0.3372,0.1239,0.1439,4.3889,0.8119,0.1338
anc_sym_mig_size	Round_4_Replicate_19	-630.7	1275.4	957.83	648.22	2.05,0.1689,0.1541,0.1386,6.7686,1.1523,0.1392
anc_sym_mig_size	Round_4_Replicate_20	-606.03	1226.06	842.98	543.32	3.1939,0.25,0.1352,0.1748,4.1935,0.386,0.1456
anc_sym_mig_size	Round_4_Replicate_21	-602.67	1219.34	827.76	461.49	2.3456,0.4555,0.1347,0.1736,3.6887,0.9422,0.1511
anc_sym_mig_size	Round_4_Replicate_22	-604.6	1223.2	794.07	409.04	5.4581,0.5492,0.1226,0.2207,1.5354,0.765,0.1352
anc_sym_mig_size	Round_4_Replicate_23	-601.48	1216.96	861.93	687.81	4.6314,0.1488,0.0956,0.1247,6.4045,0.6417,0.1049
anc_sym_mig_size	Round_4_Replicate_24	-602.08	1218.16	862.26	531.93	7.3474,0.4159,0.1082,0.1459,3.1498,0.384,0.1269
anc_sym_mig_size	Round_4_Replicate_25	-641.2	1296.4	806.41	478.69	4.0376,0.2524,0.1565,0.2347,3.7638,0.4426,0.1411
anc_sym_mig_size	Round_4_Replicate_26	-592.24	1198.48	783.21	513.89	2.6751,0.3599,0.1008,0.1591,1.5249,0.391,0.1011
anc_sym_mig_size	Round_4_Replicate_27	-614.83	1243.66	830.56	480.81	2.5893,0.2766,0.1731,0.2149,4.6885,1.0093,0.1775
anc_sym_mig_size	Round_4_Replicate_28	-594.11	1202.22	809.12	519.71	3.7282,0.2684,0.1029,0.1443,2.3821,0.6186,0.0982
