Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m1, m2, T1, T2)
sym_mig_twoepoch	Round_3_Replicate_13	-746.67	1505.34	1123.59	414.84	0.2006,0.2917,1.7908,0.3412,0.0799,6.2532
sym_mig_twoepoch	Round_3_Replicate_14	-773.23	1558.46	1311.75	809.59	0.1124,0.1171,11.3198,0.5867,0.0719,5.8049
sym_mig_twoepoch	Round_3_Replicate_15	-928.65	1869.3	1740.44	644.82	0.2889,0.1594,1.3069,1.172,0.0398,25.8533
sym_mig_twoepoch	Round_3_Replicate_16	-1077.19	2166.38	2576.34	320.73	0.7084,0.2622,1.8772,0.6565,0.0288,5.599
sym_mig_twoepoch	Round_3_Replicate_17	-894.7	1801.4	1760.16	366.73	0.2168,0.2393,14.8865,0.2197,0.0375,6.2505
sym_mig_twoepoch	Round_3_Replicate_18	-726.28	1464.56	1280.84	280.41	0.5636,0.2609,5.5517,0.267,0.0672,20.1241
sym_mig_twoepoch	Round_3_Replicate_19	-2528.97	5069.94	104057.81	224.38	0.3484,1.2075,9.2503,1.1292,0.2805,6.6431
sym_mig_twoepoch	Round_3_Replicate_20	-999.32	2010.64	1951.57	138.38	0.3437,1.2285,0.9574,0.1307,0.4071,24.2763
sym_mig_twoepoch	Round_3_Replicate_21	-1706.07	3424.14	16666.78	345.8	0.5468,0.3738,5.1439,1.2226,0.0529,8.9989
sym_mig_twoepoch	Round_3_Replicate_22	-1265.07	2542.14	3923.74	475.52	0.5632,0.1442,2.5114,1.1182,0.2969,4.776
sym_mig_twoepoch	Round_3_Replicate_23	-973.6	1959.2	1751.13	203.79	0.5194,0.8375,10.0611,0.3567,0.1147,8.6031
sym_mig_twoepoch	Round_3_Replicate_24	-888.77	1789.54	1690.48	355.46	0.203,0.2904,3.401,0.2123,0.0741,5.0816
sym_mig_twoepoch	Round_3_Replicate_25	-950.25	1912.5	1711.89	341.02	0.1566,0.5006,2.699,0.3435,0.0628,27.8603
sym_mig_twoepoch	Round_3_Replicate_26	-1502.4	3016.8	4386.06	210.84	0.1725,1.1991,3.2123,0.3835,0.1606,18.3301
sym_mig_twoepoch	Round_3_Replicate_27	-795.0	1602.0	1099.41	605.32	0.2106,0.225,1.5332,0.8993,0.2097,5.338
sym_mig_twoepoch	Round_3_Replicate_28	-860.85	1733.7	1293.16	518.75	0.1404,0.3268,2.2424,0.6218,0.0612,20.2837
sym_mig_twoepoch	Round_3_Replicate_29	-1126.53	2265.06	2868.14	405.28	0.5971,0.1883,1.1786,0.8538,0.1611,5.081
sym_mig_twoepoch	Round_3_Replicate_30	-651.28	1314.56	856.8	251.62	0.5474,0.4558,2.9102,0.2032,0.0257,3.9451
sym_mig_twoepoch	Round_4_Replicate_1	-648.13	1308.26	802.92	166.15	0.8433,0.8959,2.6982,0.0923,0.0295,4.1675
sym_mig_twoepoch	Round_4_Replicate_2	-833.57	1679.14	1181.96	223.92	0.3848,0.8111,1.5685,0.2501,0.0321,4.3168
sym_mig_twoepoch	Round_4_Replicate_3	-666.12	1344.24	855.28	254.17	0.5728,0.4439,3.0114,0.2536,0.0134,4.416
sym_mig_twoepoch	Round_4_Replicate_4	-652.11	1316.22	858.81	350.32	0.4002,0.3216,2.0634,0.2929,0.1372,2.3978
sym_mig_twoepoch	Round_4_Replicate_5	-666.88	1345.76	994.85	201.05	0.7808,0.5133,3.2014,0.1227,0.012,4.4057
sym_mig_twoepoch	Round_4_Replicate_6	-664.27	1340.54	894.27	372.74	0.3377,0.2857,1.4974,0.3574,0.0306,4.5879
sym_mig_twoepoch	Round_4_Replicate_7	-644.79	1301.58	816.29	224.88	0.6254,0.5677,1.8244,0.1584,0.0402,3.5448
sym_mig_twoepoch	Round_4_Replicate_8	-713.84	1439.68	994.21	178.23	0.5521,0.838,5.5905,0.115,0.0118,5.3314
sym_mig_twoepoch	Round_4_Replicate_9	-660.33	1332.66	843.26	192.77	0.6838,0.6024,6.6504,0.1833,0.01,6.9236
sym_mig_twoepoch	Round_4_Replicate_10	-651.42	1314.84	863.7	261.63	0.5383,0.4299,3.2493,0.2123,0.0193,3.7403
sym_mig_twoepoch	Round_4_Replicate_11	-657.44	1326.88	840.71	253.17	0.5003,0.4778,5.3692,0.2188,0.0139,4.3378
sym_mig_twoepoch	Round_4_Replicate_12	-648.27	1308.54	865.29	250.51	0.6078,0.4489,2.7464,0.1872,0.0326,3.3495
sym_mig_twoepoch	Round_4_Replicate_13	-644.54	1301.08	821.63	205.96	0.6884,0.6504,2.0281,0.1251,0.0682,3.5395
sym_mig_twoepoch	Round_4_Replicate_14	-656.21	1324.42	874.89	295.47	0.4432,0.3798,2.2396,0.2484,0.0444,3.6921
sym_mig_twoepoch	Round_4_Replicate_15	-659.13	1330.26	835.63	232.29	0.605,0.5026,2.4605,0.2188,0.0256,4.6873
