Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_3_Replicate_10	-970.65	1955.3	2368.95	114.44	0.4975,2.2874,2.3595,0.4357,0.0905,1.1731,6.6491
sec_contact_sym_mig_size	Round_3_Replicate_11	-654.28	1322.56	822.24	135.1	0.3565,4.6347,1.0257,0.8937,0.1193,0.4273,7.9215
sec_contact_sym_mig_size	Round_3_Replicate_12	-901.49	1816.98	1616.23	122.55	0.7601,8.8063,1.5396,1.5236,0.1306,0.7943,2.9162
sec_contact_sym_mig_size	Round_3_Replicate_13	-1128.41	2270.82	3083.56	141.24	0.2264,7.825,2.3213,1.2025,0.1358,0.1595,1.8837
sec_contact_sym_mig_size	Round_3_Replicate_14	-716.66	1447.32	925.94	111.89	1.2924,8.6787,2.064,1.1843,0.0793,0.2878,4.5951
sec_contact_sym_mig_size	Round_3_Replicate_15	-914.95	1843.9	1425.33	89.31	0.1922,2.5018,3.0646,2.4009,0.0349,0.4397,3.1999
sec_contact_sym_mig_size	Round_3_Replicate_16	-722.12	1458.24	934.46	167.71	0.2235,6.2434,0.5726,0.8577,0.1696,1.4955,7.3892
sec_contact_sym_mig_size	Round_3_Replicate_17	-819.98	1653.96	1104.68	97.93	0.959,3.2723,1.067,2.4216,0.0622,0.3068,5.2797
sec_contact_sym_mig_size	Round_3_Replicate_18	-1023.68	2061.36	1773.8	147.91	0.7944,5.0882,3.1409,0.7319,0.0935,0.5364,1.4525
sec_contact_sym_mig_size	Round_3_Replicate_19	-953.0	1920.0	2354.21	79.06	0.9447,11.9298,2.8899,0.5998,0.0826,0.8774,19.9949
sec_contact_sym_mig_size	Round_3_Replicate_20	-1173.47	2360.94	3803.06	156.8	1.7343,5.7792,1.0647,0.2529,0.0638,1.9314,5.6143
sec_contact_sym_mig_size	Round_3_Replicate_21	-637.94	1289.88	792.04	86.0	1.1132,5.5996,1.9223,1.5995,0.0465,1.0164,7.5769
sec_contact_sym_mig_size	Round_3_Replicate_22	-1252.5	2519.0	3894.29	87.49	0.2055,6.9859,1.2968,2.9024,0.1449,0.163,5.9122
sec_contact_sym_mig_size	Round_3_Replicate_23	-728.04	1470.08	905.34	247.83	0.977,0.8521,0.4404,0.7783,0.1664,0.6154,1.301
sec_contact_sym_mig_size	Round_3_Replicate_24	-731.33	1476.66	901.63	268.34	0.2334,0.9218,0.4352,0.6416,0.2475,0.4129,1.8072
sec_contact_sym_mig_size	Round_3_Replicate_25	-690.89	1395.78	792.73	135.89	0.6327,10.4645,1.2549,1.3637,0.0732,0.3273,3.1813
