Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_3_Replicate_27	-681.59	1375.18	1157.29	138.47	1.1121,0.6924,0.1686,13.4886,19.1923,0.2258
sec_contact_sym_mig_three_epoch	Round_3_Replicate_28	-1040.16	2092.32	4496.33	138.61	1.6059,0.5231,0.2618,5.6174,9.7805,0.9437
sec_contact_sym_mig_three_epoch	Round_3_Replicate_29	-1346.29	2704.58	21932.33	263.8	0.5283,0.4002,0.8472,14.1261,3.7741,1.1498
sec_contact_sym_mig_three_epoch	Round_3_Replicate_30	-1031.08	2074.16	2261.29	143.93	2.1007,0.5046,0.6028,24.6059,14.3908,0.5234
sec_contact_sym_mig_three_epoch	Round_4_Replicate_1	-702.53	1417.06	961.82	99.86	0.9326,1.4481,0.1396,8.0366,7.6008,0.247
sec_contact_sym_mig_three_epoch	Round_4_Replicate_2	-657.62	1327.24	966.59	121.18	1.3146,0.9258,0.1878,4.98,14.6694,0.3469
sec_contact_sym_mig_three_epoch	Round_4_Replicate_3	-711.63	1435.26	1537.67	218.98	0.7027,0.6167,0.6351,10.0377,6.8163,0.6205
sec_contact_sym_mig_three_epoch	Round_4_Replicate_4	-687.44	1386.88	1270.52	223.66	0.7153,0.5883,0.5032,15.019,22.9725,0.4643
sec_contact_sym_mig_three_epoch	Round_4_Replicate_5	-822.01	1656.02	1215.66	114.3	0.8555,1.7367,0.3321,7.891,11.6132,0.5855
sec_contact_sym_mig_three_epoch	Round_4_Replicate_6	-672.1	1356.2	1048.29	200.15	0.7833,0.6836,0.6239,27.0604,9.4292,0.5127
sec_contact_sym_mig_three_epoch	Round_4_Replicate_7	-663.7	1339.4	902.7	154.8	0.8102,0.9272,0.331,19.8629,10.6441,0.3936
sec_contact_sym_mig_three_epoch	Round_4_Replicate_8	-664.41	1340.82	1104.25	112.9	1.1155,0.7928,0.2176,10.259,4.2055,0.3747
sec_contact_sym_mig_three_epoch	Round_4_Replicate_9	-661.1	1334.2	947.93	105.87	1.3971,1.2824,0.2644,6.9569,7.48,0.7394
sec_contact_sym_mig_three_epoch	Round_4_Replicate_10	-643.26	1298.52	878.22	118.17	1.207,0.9896,0.1747,5.0611,5.2271,0.2783
sec_contact_sym_mig_three_epoch	Round_4_Replicate_11	-673.65	1359.3	899.79	101.92	0.982,1.3176,0.2965,12.2394,4.7303,0.5754
sec_contact_sym_mig_three_epoch	Round_4_Replicate_12	-645.1	1302.2	847.92	157.08	0.8119,0.8253,0.2156,5.2225,16.6857,0.1898
sec_contact_sym_mig_three_epoch	Round_4_Replicate_13	-652.8	1317.6	980.7	113.99	1.2455,1.1067,0.2553,5.9775,4.1093,0.6344
sec_contact_sym_mig_three_epoch	Round_4_Replicate_14	-765.66	1543.32	1224.85	128.51	0.7033,1.3239,0.2064,8.9729,13.273,0.384
sec_contact_sym_mig_three_epoch	Round_4_Replicate_15	-648.38	1308.76	892.56	185.14	0.7976,0.6715,0.3029,7.5419,14.1819,0.2409
sec_contact_sym_mig_three_epoch	Round_4_Replicate_16	-651.08	1314.16	871.99	127.89	1.056,0.8515,0.5835,10.9648,3.4117,0.5711
sec_contact_sym_mig_three_epoch	Round_4_Replicate_17	-639.17	1290.34	917.65	111.07	1.1387,1.0467,0.4307,15.7231,5.0093,0.7551
sec_contact_sym_mig_three_epoch	Round_4_Replicate_18	-667.75	1347.5	945.06	84.48	1.3389,1.6561,0.2147,13.5225,7.4123,0.8119
sec_contact_sym_mig_three_epoch	Round_4_Replicate_19	-759.47	1530.94	1017.68	112.91	0.7989,1.4753,0.2052,18.2115,13.1818,0.2628
sec_contact_sym_mig_three_epoch	Round_4_Replicate_20	-652.03	1316.06	868.17	216.37	0.6836,0.5903,0.3986,7.4826,9.2289,0.2216
sec_contact_sym_mig_three_epoch	Round_4_Replicate_21	-794.85	1601.7	1810.17	154.5	1.3919,0.6188,0.3804,8.9739,16.6585,0.6961
sec_contact_sym_mig_three_epoch	Round_4_Replicate_22	-754.93	1521.86	1148.41	129.7	0.7986,1.3945,0.2765,5.2525,21.2153,0.5251
sec_contact_sym_mig_three_epoch	Round_4_Replicate_23	-726.66	1465.32	985.33	109.44	0.8041,1.3892,0.1382,12.5811,17.5483,0.1473
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-636.51	1285.02	859.32	123.82	0.8935,0.8288,0.2836,11.956,4.3997,0.2974
sec_contact_sym_mig_three_epoch	Round_4_Replicate_25	-709.67	1431.34	1378.12	264.99	0.4914,0.5644,0.5194,8.253,12.9284,0.3777
sec_contact_sym_mig_three_epoch	Round_4_Replicate_26	-646.51	1305.02	892.31	73.46	1.3233,1.4205,0.1676,15.9355,4.7854,0.4968
sec_contact_sym_mig_three_epoch	Round_4_Replicate_27	-677.48	1366.96	1128.55	131.84	1.137,0.7055,0.1752,9.1342,9.7472,0.2284
sec_contact_sym_mig_three_epoch	Round_4_Replicate_28	-670.15	1352.3	926.47	161.37	0.7463,0.9096,0.3218,7.3467,7.559,0.3628
sec_contact_sym_mig_three_epoch	Round_4_Replicate_29	-713.13	1438.26	1032.18	153.77	0.6752,1.052,0.2668,5.2734,8.6063,0.3319
sec_contact_sym_mig_three_epoch	Round_4_Replicate_30	-657.31	1326.62	805.31	89.52	1.3481,1.5578,0.1222,4.8246,14.9012,0.2499
sec_contact_sym_mig_three_epoch	Round_4_Replicate_31	-708.28	1428.56	1201.97	143.0	1.3367,0.7973,0.4247,5.4686,7.6875,0.6786
sec_contact_sym_mig_three_epoch	Round_4_Replicate_32	-667.98	1347.96	1007.3	142.77	0.9455,1.0084,0.3235,13.7986,11.2638,0.5623
sec_contact_sym_mig_three_epoch	Round_4_Replicate_33	-663.75	1339.5	926.92	94.56	0.99,1.2781,0.3014,15.8233,4.4877,0.6434
sec_contact_sym_mig_three_epoch	Round_4_Replicate_34	-689.85	1391.7	1119.3	118.46	0.8109,1.0685,0.2924,8.3233,2.8937,0.5746
sec_contact_sym_mig_three_epoch	Round_4_Replicate_35	-683.28	1378.56	849.2	107.67	0.935,1.2723,0.2153,10.2965,6.0897,0.2825
sec_contact_sym_mig_three_epoch	Round_4_Replicate_36	-803.66	1619.32	1407.56	205.11	0.5123,0.9702,0.6732,16.1634,15.9642,0.5208
sec_contact_sym_mig_three_epoch	Round_4_Replicate_37	-761.73	1535.46	1296.14	150.03	1.2983,0.5573,0.2957,16.0472,10.1301,0.2349
sec_contact_sym_mig_three_epoch	Round_4_Replicate_38	-798.98	1609.96	1171.5	165.4	0.601,1.1706,0.4214,15.8132,14.8856,0.3899
sec_contact_sym_mig_three_epoch	Round_4_Replicate_39	-719.7	1451.4	1164.46	149.06	0.7881,1.1351,0.3516,10.5456,13.8088,0.5978
sec_contact_sym_mig_three_epoch	Round_4_Replicate_40	-658.78	1329.56	894.35	155.92	1.0078,0.7864,0.3043,9.4185,11.514,0.323
