Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_3_Replicate_27	-981.41	1974.82	2219.23	267.08	0.8958,0.9295,0.4456,0.5977,0.512,0.0458
no_mig_size	Round_3_Replicate_28	-979.15	1970.3	6003.19	350.28	0.9174,3.1155,0.2658,0.2857,0.8872,0.3976
no_mig_size	Round_3_Replicate_29	-803.34	1618.68	2202.39	332.2	0.5057,0.5722,1.224,0.2484,0.6554,0.1026
no_mig_size	Round_3_Replicate_30	-1317.1	2646.2	2909.63	295.87	0.8788,3.0609,0.0934,0.775,0.2496,0.0942
no_mig_size	Round_4_Replicate_1	-764.65	1541.3	2200.25	473.7	2.8604,0.7041,0.1716,0.1247,0.4824,0.1659
no_mig_size	Round_4_Replicate_2	-596.69	1205.38	866.76	400.82	6.363,1.5978,0.1407,0.1829,0.5048,0.1317
no_mig_size	Round_4_Replicate_3	-609.3	1230.6	993.54	495.77	4.704,0.6237,0.1318,0.1323,0.2924,0.1144
no_mig_size	Round_4_Replicate_4	-617.48	1246.96	999.3	482.64	3.553,0.6363,0.1825,0.1893,0.2189,0.18
no_mig_size	Round_4_Replicate_5	-593.08	1198.16	825.01	557.76	4.2328,2.0405,0.0906,0.088,0.2012,0.0862
no_mig_size	Round_4_Replicate_6	-663.72	1339.44	869.05	472.14	2.9754,1.381,0.1103,0.2069,0.2143,0.1254
no_mig_size	Round_4_Replicate_7	-604.82	1221.64	857.72	382.32	2.8075,1.6474,0.1438,0.1423,0.5441,0.0939
no_mig_size	Round_4_Replicate_8	-606.44	1224.88	936.97	482.03	9.6596,0.7086,0.1557,0.1679,0.2588,0.1485
no_mig_size	Round_4_Replicate_9	-629.12	1270.24	1082.91	429.96	8.8853,1.2996,0.2078,0.1655,0.375,0.1753
no_mig_size	Round_4_Replicate_10	-599.52	1211.04	831.8	392.21	9.3544,1.9616,0.1419,0.1793,0.5071,0.1279
no_mig_size	Round_4_Replicate_11	-620.11	1252.22	939.76	459.51	2.3473,1.9569,0.2054,0.2129,0.2107,0.2139
no_mig_size	Round_4_Replicate_12	-601.53	1215.06	959.77	349.21	3.4132,2.1795,0.159,0.1448,0.7405,0.1095
no_mig_size	Round_4_Replicate_13	-590.13	1192.26	846.08	488.41	3.056,0.7398,0.11,0.1407,0.3091,0.1004
no_mig_size	Round_4_Replicate_14	-584.9	1181.8	892.53	401.3	7.5203,0.8526,0.0982,0.1696,0.5691,0.0868
no_mig_size	Round_4_Replicate_15	-617.08	1246.16	920.14	384.51	5.275,1.2738,0.2071,0.2511,0.4366,0.1856
no_mig_size	Round_4_Replicate_16	-588.58	1189.16	820.55	392.28	5.1041,1.6802,0.1098,0.1429,0.5697,0.0921
no_mig_size	Round_4_Replicate_17	-661.8	1335.6	1136.68	478.74	3.8165,1.4332,0.2061,0.1194,0.2337,0.142
no_mig_size	Round_4_Replicate_18	-610.46	1232.92	1010.22	349.62	4.0102,1.6705,0.2011,0.2102,0.6714,0.1586
no_mig_size	Round_4_Replicate_19	-633.64	1279.28	1033.44	484.82	2.9118,1.2307,0.1863,0.1259,0.2414,0.1385
no_mig_size	Round_4_Replicate_20	-637.86	1287.72	961.47	397.06	8.7945,1.4865,0.1868,0.1516,0.4339,0.1242
no_mig_size	Round_4_Replicate_21	-590.66	1193.32	863.77	386.6	7.4531,0.7597,0.1015,0.2028,0.5592,0.0835
no_mig_size	Round_4_Replicate_22	-617.61	1247.22	1078.76	449.96	3.7118,1.3276,0.1788,0.158,0.3777,0.1649
no_mig_size	Round_4_Replicate_23	-602.19	1216.38	787.13	483.32	5.7945,0.6734,0.1111,0.1765,0.2553,0.1088
no_mig_size	Round_4_Replicate_24	-605.21	1222.42	859.0	503.2	8.8375,1.2233,0.1571,0.1665,0.176,0.1605
no_mig_size	Round_4_Replicate_25	-583.8	1179.6	784.73	447.67	9.5508,1.4571,0.0826,0.1167,0.4439,0.0792
no_mig_size	Round_4_Replicate_26	-624.61	1261.22	853.76	449.96	7.25,0.5898,0.1942,0.2473,0.1946,0.1818
no_mig_size	Round_4_Replicate_27	-608.28	1228.56	896.49	455.68	2.6447,0.6694,0.1479,0.2135,0.3033,0.1435
no_mig_size	Round_4_Replicate_28	-622.1	1256.2	904.46	427.05	7.7839,0.5337,0.17,0.2807,0.301,0.1635
no_mig_size	Round_4_Replicate_29	-607.11	1226.22	895.88	490.08	10.0233,0.5804,0.1537,0.1888,0.2116,0.1553
no_mig_size	Round_4_Replicate_30	-603.66	1219.32	907.26	438.25	4.1889,2.3102,0.1609,0.1787,0.3745,0.163
no_mig_size	Round_4_Replicate_31	-590.21	1192.42	820.55	417.9	3.1427,2.0588,0.125,0.1347,0.4791,0.102
no_mig_size	Round_4_Replicate_32	-594.39	1200.78	926.33	399.82	3.7391,0.7331,0.1223,0.2037,0.528,0.1005
no_mig_size	Round_4_Replicate_33	-635.31	1282.62	1326.11	367.62	8.5315,0.6523,0.152,0.2723,0.6677,0.1413
no_mig_size	Round_4_Replicate_34	-613.73	1239.46	1000.01	412.2	4.7952,0.8136,0.1888,0.2176,0.4141,0.1655
no_mig_size	Round_4_Replicate_35	-617.66	1247.32	900.54	418.07	2.552,0.8328,0.2059,0.2161,0.3345,0.1577
no_mig_size	Round_4_Replicate_36	-602.18	1216.36	913.3	531.25	4.7252,1.1206,0.1317,0.1265,0.2001,0.13
no_mig_size	Round_4_Replicate_37	-581.33	1174.66	778.22	467.4	4.826,0.7652,0.0814,0.1264,0.3732,0.0712
no_mig_size	Round_4_Replicate_38	-605.86	1223.72	881.99	459.0	2.8145,0.9212,0.1688,0.1917,0.2765,0.157
no_mig_size	Round_4_Replicate_39	-599.77	1211.54	1027.23	448.63	2.5406,0.6068,0.112,0.1647,0.4554,0.0975
no_mig_size	Round_4_Replicate_40	-620.52	1253.04	1072.25	352.47	9.1865,0.8475,0.1814,0.2462,0.639,0.1425
