Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_4_Replicate_11	-519.3	1052.6	592.72	98.53	5.8702,2.4014,0.1706,0.2745,0.0839,7.6698,0.0995
sym_mig_size	Round_4_Replicate_12	-530.71	1075.42	598.52	67.67	7.1356,6.3733,0.2764,0.381,0.0479,10.3924,0.1727
sym_mig_size	Round_4_Replicate_13	-528.42	1070.84	583.45	90.81	3.7341,2.6714,0.3398,0.3519,0.0515,6.5511,0.0787
sym_mig_size	Round_4_Replicate_14	-504.73	1023.46	581.33	70.4	3.5057,3.0029,0.3599,0.337,0.0355,10.552,0.0644
sym_mig_size	Round_4_Replicate_15	-538.92	1091.84	735.73	114.49	6.8366,3.0087,0.2978,0.3747,0.0567,5.6935,0.2211
sym_mig_size	Round_4_Replicate_16	-552.6	1119.2	795.75	124.24	4.6506,5.2727,0.2914,0.2437,0.0547,4.8603,0.1798
sym_mig_size	Round_4_Replicate_17	-556.42	1126.84	754.88	106.56	10.8546,6.1065,0.1973,0.2346,0.0584,5.3694,0.1434
sym_mig_size	Round_4_Replicate_18	-529.54	1073.08	661.98	80.93	6.2347,2.7741,0.2382,0.3606,0.0656,10.8802,0.1524
sym_mig_size	Round_4_Replicate_19	-618.76	1251.52	864.91	66.17	6.6045,4.7016,0.3356,0.2097,0.0806,11.3216,0.1107
sym_mig_size	Round_4_Replicate_20	-577.43	1168.86	962.23	85.46	5.2481,7.3886,0.3115,0.164,0.0381,7.9769,0.1299
sym_mig_size	Round_4_Replicate_21	-552.67	1119.34	716.16	132.72	9.7347,6.7888,0.1131,0.1433,0.0974,4.3833,0.0977
sym_mig_size	Round_4_Replicate_22	-547.23	1108.46	743.14	92.97	10.0958,6.894,0.1607,0.2029,0.0573,7.0869,0.1298
sym_mig_size	Round_4_Replicate_23	-642.48	1298.96	1428.01	160.99	11.1473,2.7383,0.1858,0.1819,0.0414,3.7545,0.1564
sym_mig_size	Round_4_Replicate_24	-549.29	1112.58	699.22	105.87	4.8266,7.2215,0.1634,0.1436,0.0966,6.9405,0.113
sym_mig_size	Round_4_Replicate_25	-637.88	1289.76	1187.24	109.48	11.108,2.8098,0.2817,0.2113,0.0904,6.9469,0.2056
sym_mig_size	Round_4_Replicate_26	-585.22	1184.44	785.74	106.54	6.3371,6.3071,0.2822,0.1903,0.1361,6.1351,0.1605
sym_mig_size	Round_4_Replicate_27	-577.0	1168.0	907.82	124.96	11.5632,6.1204,0.2857,0.2221,0.0772,4.9633,0.2261
sym_mig_size	Round_4_Replicate_28	-573.75	1161.5	887.92	60.16	11.1859,8.1124,0.2073,0.1613,0.0467,13.0555,0.1251
sym_mig_size	Round_4_Replicate_29	-550.2	1114.4	716.8	143.86	6.0211,8.4387,0.1215,0.1185,0.1237,4.3138,0.1
sym_mig_size	Round_4_Replicate_30	-567.1	1148.2	796.69	132.57	6.8843,7.6292,0.1842,0.1303,0.1259,4.6422,0.1233
sym_mig_size	Round_4_Replicate_31	-574.6	1163.2	818.44	97.11	10.366,4.4491,0.306,0.2551,0.071,6.4511,0.1828
sym_mig_size	Round_4_Replicate_32	-562.56	1139.12	826.57	88.36	9.1091,8.8424,0.1875,0.1555,0.0548,7.3516,0.1192
sym_mig_size	Round_4_Replicate_33	-543.49	1100.98	739.63	130.05	8.5575,3.8757,0.1262,0.1854,0.0659,4.4825,0.0987
sym_mig_size	Round_4_Replicate_34	-556.77	1127.54	727.76	152.16	11.6322,7.84,0.1766,0.1997,0.092,3.4059,0.1532
sym_mig_size	Round_4_Replicate_35	-561.26	1136.52	786.78	168.06	8.8207,7.8171,0.2004,0.2146,0.0727,3.0126,0.1775
sym_mig_size	Round_4_Replicate_36	-545.56	1105.12	681.89	122.65	4.3502,2.5624,0.2463,0.2593,0.1182,6.4272,0.1658
sym_mig_size	Round_4_Replicate_37	-541.39	1096.78	641.65	72.89	5.6625,4.9776,0.2097,0.2381,0.0434,8.0932,0.0715
sym_mig_size	Round_4_Replicate_38	-571.8	1157.6	932.3	81.67	11.9015,4.3488,0.222,0.2419,0.0337,7.7312,0.1281
sym_mig_size	Round_4_Replicate_39	-548.97	1111.94	737.24	89.9	10.7812,5.0172,0.2432,0.3916,0.0385,6.3705,0.1726
sym_mig_size	Round_4_Replicate_40	-572.01	1158.02	929.79	151.17	5.0846,5.8619,0.1925,0.1703,0.0498,3.6288,0.1301
