Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s)
vic_no_mig	Round_3_Replicate_19	-970.0	1950.0	2304.31	499.82	0.4863,0.8063,0.6798,0.1629,0.1885
vic_no_mig	Round_3_Replicate_20	-608.1	1226.2	818.58	648.06	0.1956,0.2031,0.943,0.102,0.4846
vic_no_mig	Round_3_Replicate_21	-811.59	1633.18	1727.13	592.98	0.2631,0.2736,4.3986,0.108,0.264
vic_no_mig	Round_3_Replicate_22	-850.77	1711.54	1420.47	351.79	0.9748,1.0317,0.8555,0.3507,0.4429
vic_no_mig	Round_3_Replicate_23	-2121.61	4253.22	441121.75	576.96	0.3252,1.3526,6.3837,0.8015,0.4487
vic_no_mig	Round_3_Replicate_24	-2555.42	5120.84	58064454212.5	567.55	0.1969,0.2364,3.9434,1.1057,0.258
vic_no_mig	Round_3_Replicate_25	-805.48	1620.96	1423.63	390.83	0.8543,0.2309,3.3022,0.3557,0.2849
vic_no_mig	Round_3_Replicate_26	-616.78	1243.56	888.61	568.59	0.3329,0.3929,1.4941,0.1871,0.4786
vic_no_mig	Round_3_Replicate_27	-1284.85	2579.7	5773.75	351.4	1.0014,1.3017,2.4999,0.2223,0.4429
vic_no_mig	Round_3_Replicate_28	-740.14	1490.28	1099.26	427.94	0.6633,0.1949,1.0647,0.268,0.3754
vic_no_mig	Round_3_Replicate_29	-665.89	1341.78	1109.06	485.81	0.5139,0.0996,1.178,0.2839,0.392
vic_no_mig	Round_3_Replicate_30	-1121.82	2253.64	2424.32	272.77	1.9395,0.1925,1.437,0.4781,0.2118
vic_no_mig	Round_4_Replicate_1	-609.9	1229.8	801.72	628.34	0.2173,0.314,1.0802,0.1105,0.4871
vic_no_mig	Round_4_Replicate_2	-609.9	1229.8	854.7	687.99	0.1544,0.3228,0.5164,0.0838,0.4851
vic_no_mig	Round_4_Replicate_3	-608.37	1226.74	830.88	671.75	0.171,0.1094,1.7037,0.0919,0.4944
vic_no_mig	Round_4_Replicate_4	-613.43	1236.86	837.27	697.08	0.1289,0.1928,1.5746,0.0659,0.4804
vic_no_mig	Round_4_Replicate_5	-614.79	1239.58	830.82	571.88	0.3158,0.1149,0.994,0.1675,0.4883
vic_no_mig	Round_4_Replicate_6	-710.13	1430.26	1346.02	639.01	0.2086,0.1249,1.0749,0.1005,0.3293
vic_no_mig	Round_4_Replicate_7	-615.58	1241.16	902.26	695.57	0.1441,0.2477,0.494,0.0771,0.4568
vic_no_mig	Round_4_Replicate_8	-616.71	1243.42	848.9	562.31	0.3363,0.2167,1.5767,0.1822,0.49
vic_no_mig	Round_4_Replicate_9	-664.38	1338.76	1191.41	595.93	0.3036,0.2275,0.465,0.1726,0.3744
vic_no_mig	Round_4_Replicate_10	-700.77	1411.54	1126.86	579.87	0.2724,0.0954,1.577,0.1135,0.3479
vic_no_mig	Round_4_Replicate_11	-641.55	1293.1	1076.99	645.54	0.2216,0.1077,1.7836,0.1228,0.3988
vic_no_mig	Round_4_Replicate_12	-611.43	1232.86	844.07	619.73	0.237,0.3767,1.1948,0.1228,0.4613
vic_no_mig	Round_4_Replicate_13	-609.88	1229.76	883.01	650.23	0.2116,0.1636,0.6829,0.1197,0.4789
vic_no_mig	Round_4_Replicate_14	-621.31	1252.62	965.77	613.17	0.2686,0.3392,0.5485,0.1527,0.4368
vic_no_mig	Round_4_Replicate_15	-609.69	1229.38	839.64	686.7	0.1514,0.2057,1.4426,0.0807,0.4881
vic_no_mig	Round_4_Replicate_16	-623.28	1256.56	803.41	561.13	0.3201,0.1101,1.2384,0.1562,0.4829
vic_no_mig	Round_4_Replicate_17	-610.52	1231.04	830.14	689.35	0.1434,0.1357,1.3927,0.075,0.489
vic_no_mig	Round_4_Replicate_18	-611.66	1233.32	853.03	702.32	0.1355,0.1173,0.6077,0.073,0.4886
