Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m12, m21, T1, T2, s)
vic_sec_contact_asym_mig	Round_3_Replicate_18	-1632.81	3281.62	15402.68	266.94	1.6946,2.0706,6.9509,1.3624,0.0486,0.3616,0.0842,0.4758
vic_sec_contact_asym_mig	Round_3_Replicate_19	-694.73	1405.46	858.79	337.03	1.0006,1.9337,18.722,0.3057,0.052,0.465,0.1137,0.4869
vic_sec_contact_asym_mig	Round_3_Replicate_20	-1590.85	3197.7	12475.77	172.86	3.1507,2.0932,15.3834,0.2459,0.6016,0.8384,0.0609,0.4758
vic_sec_contact_asym_mig	Round_3_Replicate_21	-1914.12	3844.24	30786.74	238.11	2.2702,3.565,17.7253,0.7776,0.1377,0.3803,0.0249,0.4686
vic_sec_contact_asym_mig	Round_3_Replicate_22	-1039.14	2094.28	2217.41	276.78	0.4973,7.3394,6.8307,1.5028,0.6449,3.1987,0.2694,0.3995
vic_sec_contact_asym_mig	Round_3_Replicate_23	-857.09	1730.18	2184.96	562.21	0.415,11.3966,4.5727,0.2804,0.1121,0.3371,0.0225,0.3019
vic_sec_contact_asym_mig	Round_3_Replicate_24	-712.38	1440.76	960.43	322.11	0.966,4.2276,5.7757,0.8465,0.0671,0.9861,0.0877,0.4954
vic_sec_contact_asym_mig	Round_3_Replicate_25	-982.84	1981.68	1822.77	139.29	3.8285,11.2329,18.722,0.4218,0.6285,1.9309,0.0163,0.2353
vic_sec_contact_asym_mig	Round_3_Replicate_26	-725.48	1466.96	1280.0	207.21	1.5721,5.1955,9.9755,0.2401,0.3255,2.1568,0.0744,0.4637
vic_sec_contact_asym_mig	Round_3_Replicate_27	-1064.64	2145.28	2034.23	187.01	1.3433,10.4184,15.8206,1.3646,0.1473,3.5441,0.212,0.4706
vic_sec_contact_asym_mig	Round_3_Replicate_28	-976.22	1968.44	2129.25	339.89	0.6281,10.4406,18.4477,0.5911,0.5538,1.84,0.1042,0.299
vic_sec_contact_asym_mig	Round_3_Replicate_29	-2117.36	4250.72	37571.75	274.51	0.399,3.494,17.8194,0.1421,0.0794,3.5556,0.0258,0.4679
vic_sec_contact_asym_mig	Round_3_Replicate_30	-2652.44	5320.88	196832.86	177.25	3.6524,11.4964,18.722,0.766,0.0498,0.4281,0.2175,0.4869
vic_sec_contact_asym_mig	Round_4_Replicate_1	-744.25	1504.5	986.52	290.61	1.2899,12.8125,17.0872,0.613,0.1532,0.6492,0.0298,0.4583
vic_sec_contact_asym_mig	Round_4_Replicate_2	-622.74	1261.48	744.56	386.86	0.7781,8.7218,17.0129,0.5853,0.2548,0.5768,0.04,0.4807
vic_sec_contact_asym_mig	Round_4_Replicate_3	-728.02	1472.04	1079.34	293.59	1.0078,3.5784,8.4765,0.7784,0.227,1.4239,0.0754,0.4922
vic_sec_contact_asym_mig	Round_4_Replicate_4	-1020.69	2057.38	2344.36	252.6	1.7615,9.2158,17.6258,0.4734,0.1828,0.6007,0.1276,0.341
vic_sec_contact_asym_mig	Round_4_Replicate_5	-675.23	1366.46	883.59	234.29	1.4987,4.2197,13.4481,0.3265,0.2103,1.4834,0.0849,0.4346
vic_sec_contact_asym_mig	Round_4_Replicate_6	-725.07	1466.14	1064.94	214.84	1.8466,5.5374,14.8708,0.2175,0.1993,1.4055,0.0502,0.3559
vic_sec_contact_asym_mig	Round_4_Replicate_7	-928.44	1872.88	1648.38	259.31	1.7409,15.6815,10.2726,0.7141,0.2718,0.7066,0.0504,0.271
vic_sec_contact_asym_mig	Round_4_Replicate_8	-644.18	1304.36	765.2	321.31	1.0556,12.6589,15.4001,0.2366,0.2021,0.7056,0.0803,0.4349
vic_sec_contact_asym_mig	Round_4_Replicate_9	-656.4	1328.8	835.13	302.99	1.0716,6.1269,11.2817,0.4136,0.2659,1.035,0.0658,0.4641
