Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, m, T, s)
founder_sym	Round_3_Replicate_11	-805.83	1623.66	1388.51	317.9	0.3077,2.3298,0.3632,0.1947,6.2707,0.1054
founder_sym	Round_3_Replicate_12	-645.24	1302.48	854.8	387.83	0.8381,3.6433,0.3262,0.1489,0.8993,0.401
founder_sym	Round_3_Replicate_13	-932.46	1876.92	1783.07	478.96	0.2241,2.2421,0.2744,0.3337,6.919,0.477
founder_sym	Round_3_Replicate_14	-1359.31	2730.62	4024.97	296.37	0.1789,3.0621,0.6961,0.1933,5.7823,0.477
founder_sym	Round_3_Replicate_15	-648.65	1309.3	873.66	701.32	0.377,1.8121,0.1862,0.3541,0.863,0.4028
founder_sym	Round_3_Replicate_16	-659.25	1330.5	843.75	426.39	0.8237,9.3351,0.2549,0.3442,1.0274,0.4766
founder_sym	Round_3_Replicate_17	-707.84	1427.68	1013.68	554.03	0.2307,18.5498,0.2531,0.3623,2.3418,0.1588
founder_sym	Round_3_Replicate_18	-777.96	1567.92	1224.92	299.51	0.4879,1.2473,0.4258,0.2262,7.7515,0.4635
founder_sym	Round_3_Replicate_19	-717.97	1447.94	968.1	726.51	0.3475,13.0741,0.1691,0.7011,0.9027,0.2264
founder_sym	Round_3_Replicate_20	-715.6	1443.2	877.91	1391.82	0.154,1.5844,0.1132,1.4042,0.7307,0.4624
founder_sym	Round_3_Replicate_21	-972.02	1956.04	1367.99	620.47	0.1782,2.4731,0.6748,0.4714,0.9157,0.0673
founder_sym	Round_3_Replicate_22	-727.52	1467.04	1012.7	537.14	0.3471,8.8426,0.3076,0.3381,1.6997,0.477
founder_sym	Round_3_Replicate_23	-1175.62	2363.24	2388.56	350.63	0.2459,3.164,0.7873,0.4423,3.7472,0.371
founder_sym	Round_3_Replicate_24	-666.38	1344.76	893.66	319.1	0.7042,1.3385,0.3312,0.3199,8.6343,0.4349
founder_sym	Round_3_Replicate_25	-1170.07	2352.14	2441.21	339.84	0.174,1.3859,0.8524,0.3222,3.7243,0.2229
founder_sym	Round_3_Replicate_26	-1425.16	2862.32	7269.18	422.28	0.969,13.8998,0.2202,1.3134,0.9932,0.4932
founder_sym	Round_3_Replicate_27	-841.02	1694.04	1187.24	777.02	0.1904,10.0818,0.2271,1.0083,3.0549,0.3743
founder_sym	Round_3_Replicate_28	-663.89	1339.78	907.29	1832.91	0.1142,9.6003,0.0583,1.6608,0.9651,0.3919
founder_sym	Round_3_Replicate_29	-1450.47	2912.94	4702.58	515.13	0.1159,1.1816,0.1601,0.1863,3.8634,0.2617
founder_sym	Round_3_Replicate_30	-1679.31	3370.62	13201.8	408.41	0.569,1.8546,0.6055,1.127,1.3892,0.4855
founder_sym	Round_4_Replicate_1	-641.47	1294.94	851.37	306.38	0.9595,4.8142,0.4199,0.1496,1.7161,0.4461
founder_sym	Round_4_Replicate_2	-674.08	1360.16	920.95	242.19	1.591,3.7404,0.3896,0.0805,0.8524,0.4501
founder_sym	Round_4_Replicate_3	-640.43	1292.86	900.06	253.03	1.4129,5.7837,0.4195,0.107,1.5159,0.482
founder_sym	Round_4_Replicate_4	-648.27	1308.54	893.13	420.12	0.694,4.9295,0.2633,0.2588,1.4904,0.4181
founder_sym	Round_4_Replicate_5	-646.65	1305.3	825.93	554.82	0.4646,2.0175,0.2639,0.2774,1.013,0.3977
founder_sym	Round_4_Replicate_6	-649.1	1310.2	788.43	342.82	0.9222,6.1668,0.4722,0.1071,0.8375,0.4451
founder_sym	Round_4_Replicate_7	-636.95	1285.9	808.89	524.01	0.641,1.9613,0.2542,0.1789,0.5784,0.4436
founder_sym	Round_4_Replicate_8	-638.17	1288.34	777.44	351.16	0.9407,6.2125,0.389,0.1441,0.8752,0.4304
founder_sym	Round_4_Replicate_9	-641.3	1294.6	886.33	306.3	1.083,2.4517,0.4071,0.1128,1.3238,0.4828
founder_sym	Round_4_Replicate_10	-699.94	1411.88	936.16	338.5	0.8968,2.0287,0.5388,0.0594,0.6935,0.3621
founder_sym	Round_4_Replicate_11	-633.86	1279.72	774.31	443.68	0.7166,6.0794,0.313,0.2004,0.8255,0.4371
founder_sym	Round_4_Replicate_12	-644.35	1300.7	866.93	525.55	0.6666,3.9361,0.2583,0.1092,0.4864,0.4934
founder_sym	Round_4_Replicate_13	-628.45	1268.9	783.27	361.09	0.9121,4.7379,0.3462,0.2008,1.247,0.4961
founder_sym	Round_4_Replicate_14	-640.12	1292.24	759.35	314.76	0.9494,4.9206,0.4458,0.2087,1.6546,0.4891
founder_sym	Round_4_Replicate_15	-652.05	1316.1	779.85	448.09	0.7621,3.0725,0.3201,0.1479,0.5303,0.4598
founder_sym	Round_4_Replicate_16	-641.53	1295.06	843.24	325.79	1.2033,2.62,0.2965,0.1173,0.707,0.4987
founder_sym	Round_4_Replicate_17	-646.4	1304.8	734.84	440.17	0.7179,2.8682,0.366,0.218,0.7366,0.4783
founder_sym	Round_4_Replicate_18	-644.3	1300.6	891.52	311.33	1.1915,4.0867,0.3516,0.0769,0.8042,0.4732
founder_sym	Round_4_Replicate_19	-653.64	1319.28	777.5	331.4	0.7354,4.5862,0.48,0.2093,1.8053,0.4033
founder_sym	Round_4_Replicate_20	-692.99	1397.98	846.57	600.5	0.4301,3.3107,0.3139,0.264,0.5877,0.2144
founder_sym	Round_4_Replicate_21	-676.19	1364.38	987.0	284.91	1.3063,6.7362,0.3247,0.1183,0.9799,0.4106
founder_sym	Round_4_Replicate_22	-649.42	1310.84	845.58	327.34	0.747,2.145,0.4364,0.1662,1.8511,0.362
founder_sym	Round_4_Replicate_23	-642.58	1297.16	787.67	296.34	0.8888,2.9595,0.4948,0.1653,1.8114,0.3841
founder_sym	Round_4_Replicate_24	-639.4	1290.8	810.41	248.69	1.209,8.311,0.5317,0.1248,1.7714,0.3981
founder_sym	Round_4_Replicate_25	-668.75	1349.5	815.68	333.75	0.9946,2.0816,0.4888,0.0794,0.6676,0.4766
founder_sym	Round_4_Replicate_26	-647.42	1306.84	815.76	488.93	0.4876,2.0568,0.2657,0.3498,1.5137,0.3453
founder_sym	Round_4_Replicate_27	-671.26	1354.52	982.82	276.12	1.481,6.1519,0.2869,0.0877,0.7687,0.486
founder_sym	Round_4_Replicate_28	-626.33	1264.66	768.43	429.03	0.8133,6.8118,0.299,0.17,0.7099,0.4855
founder_sym	Round_4_Replicate_29	-648.29	1308.58	908.89	241.45	1.4815,7.1317,0.4346,0.0961,1.3718,0.4407
founder_sym	Round_4_Replicate_30	-649.91	1311.82	814.67	461.04	0.5064,2.9725,0.3257,0.2502,1.272,0.2918
founder_sym	Round_4_Replicate_31	-628.28	1268.56	785.58	436.25	0.7838,6.5598,0.3116,0.1532,0.7257,0.498
founder_sym	Round_4_Replicate_32	-666.77	1345.54	791.22	331.72	0.6683,6.1564,0.5585,0.1716,1.5435,0.2665
founder_sym	Round_4_Replicate_33	-629.37	1270.74	770.44	316.09	1.0785,3.0348,0.43,0.1163,0.958,0.4805
founder_sym	Round_4_Replicate_34	-697.36	1406.72	954.08	440.61	0.6532,3.3871,0.4326,0.0864,0.62,0.3445
founder_sym	Round_4_Replicate_35	-683.31	1378.62	819.31	299.76	1.1584,4.7469,0.4829,0.1781,0.8009,0.4952
founder_sym	Round_4_Replicate_36	-654.37	1320.74	844.86	457.64	0.4435,2.524,0.3162,0.2678,1.6198,0.2624
founder_sym	Round_4_Replicate_37	-657.95	1327.9	829.21	456.77	0.5169,4.3385,0.3448,0.2251,1.1376,0.2415
founder_sym	Round_4_Replicate_38	-686.92	1385.84	881.16	530.87	0.4911,8.6009,0.3308,0.2029,0.6923,0.214
founder_sym	Round_4_Replicate_39	-626.01	1264.02	763.77	523.55	0.6883,2.5865,0.2279,0.2415,0.5744,0.4926
founder_sym	Round_4_Replicate_40	-638.15	1288.3	800.29	538.75	0.6073,8.1498,0.2662,0.1777,0.5721,0.4495
