Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T1, T2, s, f)
vic_two_epoch_admix	Round_3_Replicate_26	-2107.93	4229.86	635768.02	510.57	0.3893,7.838,3.195,0.2964,0.8197,0.4673,0.1485
vic_two_epoch_admix	Round_3_Replicate_27	-1026.92	2067.84	2151.15	272.76	1.8114,4.1976,0.7351,0.1382,0.4763,0.1948,0.0595
vic_two_epoch_admix	Round_3_Replicate_28	-713.46	1440.92	960.28	272.05	1.2468,0.6767,0.6035,1.0878,0.1236,0.475,0.0803
vic_two_epoch_admix	Round_3_Replicate_29	-654.47	1322.94	887.34	446.29	0.6169,3.7113,0.8211,0.2769,0.1258,0.4389,0.101
vic_two_epoch_admix	Round_3_Replicate_30	-1202.89	2419.78	2710.54	273.22	2.1491,1.1166,2.5703,0.2854,0.1656,0.1596,0.0367
vic_two_epoch_admix	Round_4_Replicate_1	-626.95	1267.9	879.81	530.55	0.4077,0.4194,1.457,0.0669,0.1641,0.4684,0.0731
vic_two_epoch_admix	Round_4_Replicate_2	-654.77	1323.54	1007.14	463.86	0.5704,0.4016,3.2003,0.1844,0.1611,0.4224,0.061
vic_two_epoch_admix	Round_4_Replicate_3	-641.7	1297.4	979.91	502.12	0.4723,1.1124,3.4311,0.0755,0.1925,0.4305,0.0454
vic_two_epoch_admix	Round_4_Replicate_4	-622.84	1259.68	889.63	553.89	0.3709,1.1231,2.6959,0.066,0.1546,0.4764,0.0892
vic_two_epoch_admix	Round_4_Replicate_5	-640.12	1294.24	904.32	499.87	0.4718,1.3664,2.8797,0.1151,0.1425,0.4367,0.0504
vic_two_epoch_admix	Round_4_Replicate_6	-700.26	1414.52	1154.1	390.97	0.8012,1.0564,4.1743,0.2405,0.2364,0.3894,0.0754
vic_two_epoch_admix	Round_4_Replicate_7	-670.73	1355.46	1070.44	427.4	0.664,0.4556,5.164,0.0833,0.3159,0.4681,0.1089
vic_two_epoch_admix	Round_4_Replicate_8	-677.55	1369.1	1100.83	537.33	0.4018,0.9538,1.7477,0.0758,0.1315,0.3467,0.0789
vic_two_epoch_admix	Round_4_Replicate_9	-662.73	1339.46	1192.84	483.12	0.5218,0.9367,5.1109,0.0857,0.2609,0.4745,0.0455
vic_two_epoch_admix	Round_4_Replicate_10	-639.64	1293.28	881.94	487.7	0.5028,0.4284,2.0856,0.1747,0.1218,0.4652,0.0589
vic_two_epoch_admix	Round_4_Replicate_11	-693.37	1400.74	1067.23	386.4	0.796,0.5297,5.2013,0.171,0.2753,0.4728,0.043
vic_two_epoch_admix	Round_4_Replicate_12	-630.83	1275.66	877.64	521.09	0.4392,1.2842,2.4688,0.1589,0.1138,0.4564,0.0819
vic_two_epoch_admix	Round_4_Replicate_13	-622.25	1258.5	859.16	550.22	0.3706,1.3782,3.3514,0.0681,0.1415,0.4668,0.0778
vic_two_epoch_admix	Round_4_Replicate_14	-657.76	1329.52	966.66	451.45	0.5943,0.5098,2.8099,0.0952,0.2437,0.4588,0.0939
vic_two_epoch_admix	Round_4_Replicate_15	-613.93	1241.86	820.13	613.51	0.2635,0.5472,1.7112,0.075,0.072,0.4587,0.065
vic_two_epoch_admix	Round_4_Replicate_16	-672.15	1358.3	1038.44	445.62	0.623,0.5758,1.7209,0.1264,0.2262,0.3998,0.0963
vic_two_epoch_admix	Round_4_Replicate_17	-633.18	1280.36	898.8	524.49	0.4327,0.906,3.1866,0.077,0.1769,0.4423,0.1563
vic_two_epoch_admix	Round_4_Replicate_18	-685.9	1385.8	1123.07	397.66	0.7553,0.6679,1.4426,0.1615,0.2877,0.4706,0.0407
vic_two_epoch_admix	Round_4_Replicate_19	-657.2	1328.4	1048.04	472.05	0.5628,0.5062,2.7898,0.1856,0.1953,0.4163,0.1381
vic_two_epoch_admix	Round_4_Replicate_20	-671.48	1356.96	1085.21	431.75	0.6583,0.6428,2.4137,0.1558,0.2778,0.4624,0.1497
vic_two_epoch_admix	Round_4_Replicate_21	-623.04	1260.08	833.5	592.03	0.3219,0.8302,4.7308,0.1352,0.0745,0.4695,0.0964
vic_two_epoch_admix	Round_4_Replicate_22	-651.17	1316.34	919.95	476.99	0.5399,0.9852,2.4515,0.1526,0.1882,0.4647,0.1557
vic_two_epoch_admix	Round_4_Replicate_23	-621.55	1257.1	828.8	563.2	0.3511,0.8843,2.0078,0.1124,0.0935,0.475,0.0695
vic_two_epoch_admix	Round_4_Replicate_24	-723.15	1460.3	1180.88	347.67	0.9603,0.6912,3.3158,0.1123,0.4192,0.465,0.06
vic_two_epoch_admix	Round_4_Replicate_25	-706.24	1426.48	1160.45	378.01	0.8463,0.5218,4.1371,0.1569,0.3306,0.4112,0.0973
vic_two_epoch_admix	Round_4_Replicate_26	-732.75	1479.5	1115.07	386.04	0.829,1.4112,2.9304,0.1286,0.2606,0.3781,0.0524
vic_two_epoch_admix	Round_4_Replicate_27	-638.17	1290.34	837.94	536.84	0.4185,1.112,4.1784,0.1898,0.0932,0.4676,0.1228
