Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T1, T2, s, f)
founder_nomig_admix_two_epoch	Round_4_Replicate_25	-737.63	1489.26	1268.78	176.95	1.8823,0.3022,0.7166,0.7269,0.5427,0.3269,0.3048
founder_nomig_admix_two_epoch	Round_4_Replicate_26	-701.38	1416.76	1243.4	140.53	2.7553,0.7098,0.8307,0.7431,1.3846,0.4989,0.0987
founder_nomig_admix_two_epoch	Round_4_Replicate_27	-715.64	1445.28	1257.71	192.98	1.9653,0.7513,0.5783,0.5666,0.5956,0.446,0.1668
founder_nomig_admix_two_epoch	Round_4_Replicate_28	-816.88	1647.76	2222.01	146.82	2.8113,0.2682,0.5892,0.9239,0.8463,0.4667,0.2018
founder_nomig_admix_two_epoch	Round_4_Replicate_29	-1473.88	2961.76	41138.73	171.75	1.7491,0.2916,0.5452,1.6288,0.7587,0.3941,0.109
founder_nomig_admix_two_epoch	Round_4_Replicate_30	-761.05	1536.1	1132.52	123.41	3.1126,0.3418,0.9184,0.5977,1.3112,0.4616,0.0957
founder_nomig_admix_two_epoch	Round_4_Replicate_31	-1154.26	2322.52	5490.89	88.96	4.9496,0.3816,0.6251,1.5307,0.6977,0.431,0.1504
founder_nomig_admix_two_epoch	Round_4_Replicate_32	-731.47	1476.94	1168.64	115.19	2.9123,0.3096,1.2095,0.9251,1.0242,0.379,0.1504
founder_nomig_admix_two_epoch	Round_4_Replicate_33	-1335.83	2685.66	14503.21	119.86	2.8788,0.3174,0.5547,1.6359,0.8791,0.2566,0.1278
founder_nomig_admix_two_epoch	Round_4_Replicate_34	-708.44	1430.88	1111.67	160.83	2.2569,0.3265,0.8121,0.7076,0.5659,0.4621,0.243
founder_nomig_admix_two_epoch	Round_4_Replicate_35	-1057.48	2128.96	3665.44	78.64	5.2778,0.783,0.7237,1.5676,0.7058,0.3379,0.2325
founder_nomig_admix_two_epoch	Round_4_Replicate_36	-725.39	1464.78	1172.12	165.72	2.035,0.5943,0.8452,0.7411,0.9469,0.4003,0.2699
founder_nomig_admix_two_epoch	Round_4_Replicate_37	-739.68	1493.36	1674.12	206.59	1.7425,0.5728,0.6021,0.6121,0.7533,0.4502,0.1095
founder_nomig_admix_two_epoch	Round_4_Replicate_38	-1065.11	2144.22	4504.53	117.97	3.7391,0.8335,0.5232,1.2141,1.0585,0.4533,0.1967
founder_nomig_admix_two_epoch	Round_4_Replicate_39	-877.04	1768.08	1774.34	113.87	3.8649,0.2673,0.5156,0.5581,0.7721,0.4436,0.0759
founder_nomig_admix_two_epoch	Round_4_Replicate_40	-705.05	1424.1	1184.91	226.43	1.6516,0.49,0.5419,0.5368,0.7512,0.4666,0.2661
