Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
vic_no_mig_admix_late	Round_4_Replicate_9	-629.33	1270.66	811.8	625.72	0.2448,1.3238,0.1749,0.1389,0.479,0.0117
vic_no_mig_admix_late	Round_4_Replicate_10	-629.47	1270.94	834.91	650.02	0.2218,0.6288,0.05,0.1322,0.4813,0.0121
vic_no_mig_admix_late	Round_4_Replicate_11	-631.77	1275.54	849.01	654.74	0.2219,2.0802,0.1223,0.1366,0.4873,0.012
vic_no_mig_admix_late	Round_4_Replicate_12	-638.96	1289.92	948.82	606.11	0.2939,2.1898,0.13,0.1789,0.4093,0.0107
vic_no_mig_admix_late	Round_4_Replicate_13	-640.55	1293.1	851.76	620.89	0.2595,1.1935,0.1356,0.1522,0.4646,0.0135
vic_no_mig_admix_late	Round_4_Replicate_14	-619.18	1250.36	816.78	640.68	0.2321,0.8651,0.1601,0.1366,0.477,0.0103
vic_no_mig_admix_late	Round_4_Replicate_15	-891.89	1795.78	1718.81	580.39	0.3105,1.4071,0.1285,0.1461,0.2736,0.0257
vic_no_mig_admix_late	Round_4_Replicate_16	-638.53	1289.06	844.66	677.86	0.1657,0.7198,0.0862,0.0892,0.4678,0.0114
vic_no_mig_admix_late	Round_4_Replicate_17	-661.77	1335.54	1019.79	511.46	0.465,1.1468,0.0961,0.2699,0.3626,0.0102
vic_no_mig_admix_late	Round_4_Replicate_18	-668.8	1349.6	947.76	536.86	0.3847,1.0691,0.0639,0.1904,0.3848,0.0108
vic_no_mig_admix_late	Round_4_Replicate_19	-750.62	1513.24	1424.42	569.07	0.3449,0.537,0.0519,0.1733,0.2835,0.0106
vic_no_mig_admix_late	Round_4_Replicate_20	-691.03	1394.06	970.68	656.05	0.1448,0.706,0.156,0.0637,0.4272,0.0123
vic_no_mig_admix_late	Round_4_Replicate_21	-770.37	1552.74	1520.38	650.16	0.2256,1.2934,0.119,0.1266,0.3045,0.0165
vic_no_mig_admix_late	Round_4_Replicate_22	-641.23	1294.46	936.9	667.09	0.1878,0.7426,0.0421,0.1028,0.4149,0.0107
vic_no_mig_admix_late	Round_4_Replicate_23	-696.61	1405.22	1037.99	563.29	0.3432,1.4252,0.1153,0.1787,0.3717,0.0151
vic_no_mig_admix_late	Round_4_Replicate_24	-627.91	1267.82	837.7	634.27	0.2441,1.3245,0.1422,0.146,0.4723,0.0117
vic_no_mig_admix_late	Round_4_Replicate_25	-632.48	1276.96	823.41	552.85	0.3675,1.267,0.0606,0.2162,0.4703,0.0119
