Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
vic_no_mig_admix_early	Round_4_Replicate_23	-673.37	1358.74	1156.51	642.78	0.1981,0.1294,7.239,0.0955,0.3609,0.0435
vic_no_mig_admix_early	Round_4_Replicate_24	-610.77	1233.54	858.87	653.77	0.1913,0.2299,11.267,0.1003,0.4611,0.0259
vic_no_mig_admix_early	Round_4_Replicate_25	-608.44	1228.88	838.14	623.13	0.2373,0.2523,12.2146,0.1271,0.4786,0.016
vic_no_mig_admix_early	Round_4_Replicate_26	-640.33	1292.66	985.83	633.86	0.2099,0.0796,12.2552,0.1027,0.399,0.0281
vic_no_mig_admix_early	Round_4_Replicate_27	-610.58	1233.16	849.92	601.36	0.2723,0.1865,4.503,0.1471,0.4748,0.0324
vic_no_mig_admix_early	Round_4_Replicate_28	-615.67	1243.34	838.75	569.71	0.3221,0.1127,3.5409,0.1741,0.4974,0.0183
vic_no_mig_admix_early	Round_4_Replicate_29	-615.61	1243.22	892.64	585.36	0.3074,0.115,4.4642,0.1765,0.4905,0.0477
vic_no_mig_admix_early	Round_4_Replicate_30	-628.68	1269.36	1014.86	570.78	0.344,0.1776,6.7864,0.2082,0.4542,0.0182
vic_no_mig_admix_early	Round_4_Replicate_31	-615.58	1243.16	901.31	584.72	0.3072,0.1091,8.0738,0.1722,0.4627,0.018
vic_no_mig_admix_early	Round_4_Replicate_32	-607.76	1227.52	824.1	639.81	0.2098,0.1158,3.0132,0.1107,0.4841,0.0127
vic_no_mig_admix_early	Round_4_Replicate_33	-825.92	1663.84	1769.1	590.98	0.2578,0.2447,7.2128,0.1013,0.2581,0.0223
vic_no_mig_admix_early	Round_4_Replicate_34	-653.76	1319.52	1035.54	570.71	0.3223,0.1426,7.2791,0.1609,0.3791,0.0119
vic_no_mig_admix_early	Round_4_Replicate_35	-633.87	1279.74	980.53	671.83	0.1619,0.0724,3.1173,0.0814,0.4128,0.0131
vic_no_mig_admix_early	Round_4_Replicate_36	-611.68	1235.36	812.3	599.61	0.264,0.3128,12.0947,0.1356,0.4816,0.0168
vic_no_mig_admix_early	Round_4_Replicate_37	-749.94	1511.88	1553.51	590.38	0.3072,0.2198,3.9278,0.1576,0.3008,0.0129
vic_no_mig_admix_early	Round_4_Replicate_38	-609.43	1230.86	850.12	614.48	0.2554,0.1046,6.5551,0.141,0.4884,0.032
vic_no_mig_admix_early	Round_4_Replicate_39	-679.14	1370.28	1166.46	627.11	0.2193,0.2337,3.9078,0.104,0.3539,0.0505
vic_no_mig_admix_early	Round_4_Replicate_40	-671.95	1355.9	1094.22	615.75	0.2282,0.1296,3.026,0.1047,0.3638,0.0143
