Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuA, nu1, nu2, T, s, f)
founder_nomig_admix_late	Round_3_Replicate_7	-1139.84	2291.68	11814.54	295.61	1.0509,5.1256,0.3141,1.2974,0.2519,0.0199
founder_nomig_admix_late	Round_3_Replicate_8	-2091.05	4194.1	23650.39	90.68	4.677,5.2684,0.1689,0.2768,0.2499,0.0304
founder_nomig_admix_late	Round_3_Replicate_9	-1849.87	3711.74	9860.84	149.99	1.7935,13.2651,1.9378,1.1427,0.1391,0.1153
founder_nomig_admix_late	Round_3_Replicate_10	-1462.12	2936.24	5607.6	104.04	3.589,4.9731,1.2115,0.5134,0.0783,0.0119
founder_nomig_admix_late	Round_3_Replicate_11	-854.65	1721.3	2913.38	193.37	1.4221,18.9814,0.987,1.5007,0.27,0.0103
founder_nomig_admix_late	Round_3_Replicate_12	-1343.96	2699.92	30310.2	164.79	2.0138,15.8219,0.5593,1.409,0.0525,0.0115
founder_nomig_admix_late	Round_3_Replicate_13	-2693.76	5399.52	85434.77	361.26	0.9385,5.4952,0.8067,0.1945,0.0315,0.1318
founder_nomig_admix_late	Round_3_Replicate_14	-1901.36	3814.72	11786.64	267.09	0.7835,11.3738,0.7897,1.3646,0.2732,0.1159
founder_nomig_admix_late	Round_3_Replicate_15	-2405.52	4823.04	74730.02	91.68	3.4477,3.7577,1.8938,1.655,0.3258,0.1482
founder_nomig_admix_late	Round_3_Replicate_16	-1417.01	2846.02	13948.69	160.28	2.2907,16.0446,0.3374,1.1878,0.0614,0.012
founder_nomig_admix_late	Round_3_Replicate_17	-3243.88	6499.76	654566.79	201.77	1.8098,19.3134,0.4269,0.2452,0.1225,0.1504
founder_nomig_admix_late	Round_3_Replicate_18	-2428.23	4868.46	25804.52	331.81	0.5551,15.7844,2.0191,0.6801,0.175,0.1462
founder_nomig_admix_late	Round_3_Replicate_19	-982.64	1977.28	1958.84	615.94	0.5451,4.9787,0.2088,0.2591,0.1184,0.0182
founder_nomig_admix_late	Round_3_Replicate_20	-918.13	1848.26	1588.48	433.07	0.6995,16.0454,0.5301,0.325,0.2876,0.0116
founder_nomig_admix_late	Round_3_Replicate_21	-937.43	1886.86	1784.87	157.6	2.4493,10.433,0.4338,0.7379,0.2642,0.0121
founder_nomig_admix_late	Round_3_Replicate_22	-1180.24	2372.48	2449.8	489.28	0.5555,7.6545,1.2665,0.2515,0.0521,0.0108
founder_nomig_admix_late	Round_3_Replicate_23	-1951.08	3914.16	37899.63	198.95	0.7521,7.6909,2.2378,1.7596,0.141,0.0873
founder_nomig_admix_late	Round_3_Replicate_24	-1818.98	3649.96	8959.51	131.93	2.7347,15.2478,2.6928,0.3595,0.0247,0.0446
founder_nomig_admix_late	Round_3_Replicate_25	-932.25	1876.5	1864.28	104.56	3.5084,4.8944,0.7307,1.5824,0.1969,0.0169
founder_nomig_admix_late	Round_3_Replicate_26	-2479.07	4970.14	50930.17	62.89	6.2515,15.2478,2.6451,0.3415,0.0226,0.0535
founder_nomig_admix_late	Round_3_Replicate_27	-1201.14	2414.28	4187.63	114.51	2.7903,18.9557,1.6343,1.3926,0.0446,0.0217
founder_nomig_admix_late	Round_3_Replicate_28	-1897.76	3807.52	11451.17	118.15	3.5489,5.7815,0.1673,0.3758,0.19,0.0527
founder_nomig_admix_late	Round_3_Replicate_29	-1606.51	3225.02	25305403.91	280.45	0.6183,5.4226,1.0627,1.5602,0.0603,0.02
founder_nomig_admix_late	Round_3_Replicate_30	-2700.61	5413.22	218174.07	177.68	1.8149,14.5424,2.3844,0.2392,0.1858,0.0157
founder_nomig_admix_late	Round_4_Replicate_1	-876.03	1764.06	2396.47	100.11	2.8259,17.867,1.9726,2.3874,0.1719,0.0106
founder_nomig_admix_late	Round_4_Replicate_2	-962.05	1936.1	3219.24	120.56	2.8119,19.7231,0.7694,1.9633,0.1687,0.0105
founder_nomig_admix_late	Round_4_Replicate_3	-878.64	1769.28	2251.99	110.02	3.3258,13.5398,0.6905,2.077,0.2663,0.0101
founder_nomig_admix_late	Round_4_Replicate_4	-799.71	1611.42	1269.81	245.95	1.1912,18.4884,0.8672,0.7883,0.2826,0.0107
founder_nomig_admix_late	Round_4_Replicate_5	-867.63	1747.26	1606.79	152.9	2.5252,19.87,0.6308,0.7544,0.4671,0.0101
founder_nomig_admix_late	Round_4_Replicate_6	-1526.63	3065.26	599105.72	264.05	0.8189,16.3822,0.5352,2.35,0.4088,0.0107
founder_nomig_admix_late	Round_4_Replicate_7	-827.14	1666.28	1283.37	197.86	1.4014,16.1264,1.3158,0.9527,0.2893,0.0103
founder_nomig_admix_late	Round_4_Replicate_8	-1229.5	2471.0	20368.33	219.39	0.8198,19.3713,1.5732,1.6975,0.2843,0.0103
founder_nomig_admix_late	Round_4_Replicate_9	-1216.38	2444.76	31705.29	168.23	1.4245,19.1463,1.1032,2.8237,0.4511,0.0103
founder_nomig_admix_late	Round_4_Replicate_10	-1391.16	2794.32	289396.71	233.63	0.7707,19.7191,1.0282,2.0458,0.1817,0.0133
founder_nomig_admix_late	Round_4_Replicate_11	-919.93	1851.86	1448.15	203.27	1.3521,17.4508,1.5743,0.7967,0.4682,0.0103
founder_nomig_admix_late	Round_4_Replicate_12	-714.86	1441.72	1009.86	207.1	1.7744,15.0459,0.5851,0.842,0.4793,0.0112
founder_nomig_admix_late	Round_4_Replicate_13	-1301.65	2615.3	57002.75	214.6	0.8288,19.6636,1.5865,1.7694,0.1584,0.0104
founder_nomig_admix_late	Round_4_Replicate_14	-1182.88	2377.76	24706.68	184.91	1.6112,19.4067,0.5328,2.0011,0.1691,0.0105
founder_nomig_admix_late	Round_4_Replicate_15	-1499.04	3010.08	987902.66	251.58	0.8176,19.4038,0.5579,2.3574,0.2528,0.0103
founder_nomig_admix_late	Round_4_Replicate_16	-890.56	1793.12	3056.63	268.87	0.9496,14.8765,0.9056,1.1187,0.3988,0.0104
founder_nomig_admix_late	Round_4_Replicate_17	-888.25	1788.5	3227.85	181.29	1.6588,17.8094,0.7696,1.6125,0.239,0.0134
founder_nomig_admix_late	Round_4_Replicate_18	-808.36	1628.72	1757.77	289.71	0.9834,17.1591,0.6866,0.8233,0.2489,0.0103
founder_nomig_admix_late	Round_4_Replicate_19	-1044.59	2101.18	12091.49	252.05	1.0227,12.7213,0.6623,1.4852,0.2254,0.0124
founder_nomig_admix_late	Round_4_Replicate_20	-747.55	1507.1	1061.93	130.1	2.4793,17.1719,1.3991,1.4243,0.449,0.0104
founder_nomig_admix_late	Round_4_Replicate_21	-927.15	1866.3	4218.55	160.43	1.6812,19.3362,1.105,2.0674,0.2985,0.0166
founder_nomig_admix_late	Round_4_Replicate_22	-903.78	1819.56	1505.1	173.41	1.7923,15.0264,1.199,0.8176,0.1611,0.0101
founder_nomig_admix_late	Round_4_Replicate_23	-917.42	1846.84	4374.45	246.32	1.1083,7.2144,0.7224,1.2547,0.2315,0.0108
founder_nomig_admix_late	Round_4_Replicate_24	-1109.55	2231.1	11847.42	209.29	0.9776,19.0374,1.423,1.6744,0.2345,0.0122
founder_nomig_admix_late	Round_4_Replicate_25	-1191.66	2395.32	25425.57	239.6	0.8865,19.2981,0.9754,1.8108,0.3675,0.0105
founder_nomig_admix_late	Round_4_Replicate_26	-808.31	1628.62	1657.9	238.92	1.2829,18.2406,0.6732,0.9339,0.2274,0.0107
founder_nomig_admix_late	Round_4_Replicate_27	-942.94	1897.88	6200.76	278.57	0.9881,18.2521,0.5812,1.2676,0.2922,0.01
founder_nomig_admix_late	Round_4_Replicate_28	-916.55	1845.1	1744.45	145.54	2.7055,19.5904,0.4803,0.7522,0.353,0.0101
founder_nomig_admix_late	Round_4_Replicate_29	-1151.81	2315.62	18766.36	281.77	0.8493,19.3845,0.7282,1.5463,0.4522,0.0102
founder_nomig_admix_late	Round_4_Replicate_30	-1056.37	2124.74	11952.83	285.28	0.8411,18.1892,0.6975,1.3867,0.3091,0.0126
founder_nomig_admix_late	Round_4_Replicate_31	-720.8	1453.6	1544.84	193.68	1.9815,19.7036,0.5099,1.3595,0.4986,0.0103
founder_nomig_admix_late	Round_4_Replicate_32	-755.65	1523.3	1157.92	160.83	1.908,19.5535,1.2099,1.2938,0.4118,0.012
founder_nomig_admix_late	Round_4_Replicate_33	-720.63	1453.26	1165.64	152.96	2.338,13.0335,0.7333,1.3406,0.391,0.0107
founder_nomig_admix_late	Round_4_Replicate_34	-756.28	1524.56	1226.17	181.7	1.6464,10.0126,1.1037,1.192,0.3821,0.0103
founder_nomig_admix_late	Round_4_Replicate_35	-1175.25	2362.5	19720.38	191.95	1.0451,12.5134,1.6525,1.7775,0.1547,0.0126
founder_nomig_admix_late	Round_4_Replicate_36	-1082.84	2177.68	10148.04	228.59	0.9148,19.6206,1.3231,1.4612,0.2104,0.0104
founder_nomig_admix_late	Round_4_Replicate_37	-909.02	1830.04	1730.01	172.22	2.1138,18.5108,0.5039,0.8304,0.1768,0.0101
founder_nomig_admix_late	Round_4_Replicate_38	-909.82	1831.64	2312.85	187.1	1.2485,14.8026,1.7481,1.3355,0.2875,0.0101
founder_nomig_admix_late	Round_4_Replicate_39	-765.7	1543.4	1113.14	215.66	1.5362,15.1125,0.7557,0.7971,0.4098,0.0114
founder_nomig_admix_late	Round_4_Replicate_40	-1254.68	2521.36	29139.08	214.34	0.8998,16.139,1.445,1.6858,0.154,0.0185
