Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-2057.71	4123.42	24866.09	383.27	1.0998,0.1404,1.5482,0.1891
sym_mig	Round_1_Replicate_2	-7236.63	14481.26	1.89566821145e+11	69.69	3.9383,5.634,5.3623,1.915
sym_mig	Round_1_Replicate_3	-4086.15	8180.3	1134987.36	233.03	0.1062,4.2028,2.8125,3.212
sym_mig	Round_1_Replicate_4	-1965.23	3938.46	9073.07	294.83	6.2613,0.1212,0.4887,0.2471
sym_mig	Round_1_Replicate_5	-4536.33	9080.66	17313083.07	226.01	1.8332,0.4316,2.7454,2.0486
sym_mig	Round_1_Replicate_6	-2236.28	4480.56	61331.14	211.78	0.7572,1.7193,0.4011,0.5586
sym_mig	Round_1_Replicate_7	-2509.85	5027.7	106363.19	612.34	0.4816,0.1017,4.1555,0.6294
sym_mig	Round_1_Replicate_8	-1408.52	2825.04	8636.69	405.34	0.4043,0.3005,0.6038,0.1831
sym_mig	Round_1_Replicate_9	-3229.48	6466.96	565390.12	482.83	0.1202,0.3444,5.4245,0.1619
sym_mig	Round_1_Replicate_10	-592.98	1193.96	737.2	574.52	0.1854,0.1648,0.2228,0.2302
sym_mig	Round_2_Replicate_1	-655.46	1318.92	855.59	577.3	0.2267,0.1885,0.5503,0.7265
sym_mig	Round_2_Replicate_2	-728.51	1465.02	941.87	557.47	0.103,0.1976,0.1023,0.1363
sym_mig	Round_2_Replicate_3	-632.73	1273.46	771.64	390.61	0.4282,0.3526,0.1116,0.55
sym_mig	Round_2_Replicate_4	-688.45	1384.9	1237.08	641.62	0.199,0.1189,0.2729,0.3158
sym_mig	Round_2_Replicate_5	-599.26	1206.52	748.75	516.81	0.2484,0.2147,0.1891,0.3399
sym_mig	Round_2_Replicate_6	-636.08	1280.16	813.43	690.55	0.1297,0.1271,0.748,0.2377
sym_mig	Round_2_Replicate_7	-598.56	1205.12	764.78	545.19	0.2168,0.1797,0.156,0.2516
sym_mig	Round_2_Replicate_8	-594.1	1196.2	772.18	648.85	0.1158,0.1087,0.1857,0.1335
sym_mig	Round_2_Replicate_9	-657.45	1322.9	863.31	384.27	0.4082,0.3896,0.051,0.4924
sym_mig	Round_2_Replicate_10	-786.36	1580.72	1641.46	434.04	0.4249,0.2081,0.1086,0.8712
sym_mig	Round_2_Replicate_11	-637.94	1283.88	1047.13	707.42	0.0973,0.0909,0.0737,0.131
sym_mig	Round_2_Replicate_12	-599.02	1206.04	806.85	607.34	0.1497,0.1296,0.0972,0.1626
sym_mig	Round_2_Replicate_13	-665.44	1338.88	767.95	345.1	0.4741,0.4378,0.2405,0.9164
sym_mig	Round_2_Replicate_14	-593.43	1194.86	779.58	650.71	0.1296,0.1206,0.2853,0.1716
sym_mig	Round_2_Replicate_15	-697.18	1402.36	971.96	785.73	0.1189,0.1315,0.8489,0.5031
sym_mig	Round_2_Replicate_16	-629.9	1267.8	906.26	494.57	0.313,0.1991,0.1194,0.3417
sym_mig	Round_2_Replicate_17	-861.23	1730.46	1561.03	401.24	0.6597,0.1907,0.0927,0.3472
sym_mig	Round_2_Replicate_18	-701.14	1410.28	1059.56	472.68	0.2407,0.2858,0.2034,0.8698
sym_mig	Round_2_Replicate_19	-807.79	1623.58	1631.7	553.94	0.3576,0.1133,0.513,0.6631
sym_mig	Round_2_Replicate_20	-678.77	1365.54	934.0	678.74	0.1938,0.1429,0.7815,0.738
sym_mig	Round_3_Replicate_1	-614.05	1236.1	749.52	507.1	0.2663,0.2329,0.3171,0.4945
sym_mig	Round_3_Replicate_2	-593.41	1194.82	738.67	569.21	0.1919,0.1755,0.2325,0.2589
sym_mig	Round_3_Replicate_3	-600.82	1209.64	781.82	530.23	0.2308,0.1975,0.1325,0.2856
sym_mig	Round_3_Replicate_4	-594.18	1196.36	748.1	564.76	0.2016,0.1771,0.2373,0.2741
sym_mig	Round_3_Replicate_5	-604.4	1216.8	730.05	554.32	0.2147,0.1947,0.3476,0.3371
sym_mig	Round_3_Replicate_6	-607.27	1222.54	794.33	503.47	0.2516,0.2304,0.1141,0.3364
sym_mig	Round_3_Replicate_7	-612.1	1232.2	732.68	510.46	0.2506,0.2381,0.3056,0.4574
sym_mig	Round_3_Replicate_8	-595.79	1199.58	745.32	551.11	0.2153,0.189,0.2376,0.3016
sym_mig	Round_3_Replicate_9	-599.82	1207.64	790.07	548.21	0.2178,0.1912,0.1783,0.3074
sym_mig	Round_3_Replicate_10	-592.55	1193.1	742.51	577.08	0.185,0.1643,0.2252,0.2346
sym_mig	Round_3_Replicate_11	-594.79	1197.58	754.57	574.62	0.1773,0.1639,0.1512,0.2139
sym_mig	Round_3_Replicate_12	-596.67	1201.34	776.18	561.48	0.1959,0.1782,0.1525,0.2538
sym_mig	Round_3_Replicate_13	-607.72	1223.44	761.79	530.57	0.2043,0.2033,0.0881,0.2402
sym_mig	Round_3_Replicate_14	-593.59	1195.18	736.99	563.07	0.1965,0.1782,0.2196,0.2587
sym_mig	Round_3_Replicate_15	-592.81	1193.62	740.97	575.38	0.1837,0.1696,0.2173,0.2416
sym_mig	Round_3_Replicate_16	-598.83	1205.66	728.1	535.2	0.23,0.2041,0.264,0.3336
sym_mig	Round_3_Replicate_17	-607.27	1222.54	770.61	480.6	0.2887,0.246,0.136,0.3818
sym_mig	Round_3_Replicate_18	-591.95	1191.9	758.66	619.28	0.1423,0.1334,0.1995,0.174
sym_mig	Round_3_Replicate_19	-593.97	1195.94	748.4	611.59	0.1634,0.1466,0.3325,0.2237
sym_mig	Round_3_Replicate_20	-592.94	1193.88	770.02	594.83	0.1678,0.1471,0.1804,0.2018
sym_mig	Round_3_Replicate_21	-591.95	1191.9	750.06	597.41	0.1637,0.153,0.2174,0.2122
sym_mig	Round_3_Replicate_22	-611.55	1231.1	739.98	534.44	0.2422,0.2038,0.363,0.3745
sym_mig	Round_3_Replicate_23	-591.7	1191.4	759.59	640.11	0.1302,0.1191,0.2642,0.1581
sym_mig	Round_3_Replicate_24	-591.45	1190.9	742.4	604.18	0.1567,0.1461,0.2319,0.1974
sym_mig	Round_3_Replicate_25	-596.87	1201.74	753.52	631.39	0.1497,0.1324,0.4048,0.1999
sym_mig	Round_3_Replicate_26	-595.21	1198.42	766.05	672.81	0.1106,0.1023,0.3863,0.1373
sym_mig	Round_3_Replicate_27	-611.19	1230.38	821.36	494.21	0.2802,0.2244,0.1091,0.3461
sym_mig	Round_3_Replicate_28	-601.14	1210.28	734.67	501.75	0.2628,0.2302,0.1961,0.3663
sym_mig	Round_3_Replicate_29	-598.22	1204.44	741.1	579.33	0.1947,0.1664,0.339,0.2676
sym_mig	Round_3_Replicate_30	-609.62	1227.24	737.06	541.56	0.2311,0.2045,0.3607,0.3811
sym_mig	Round_3_Replicate_31	-597.13	1202.26	733.54	538.58	0.2248,0.2011,0.2403,0.3208
sym_mig	Round_3_Replicate_32	-591.47	1190.94	761.51	624.86	0.1413,0.1303,0.2233,0.1745
sym_mig	Round_3_Replicate_33	-596.63	1201.26	763.01	646.37	0.1391,0.1234,0.4163,0.1853
sym_mig	Round_3_Replicate_34	-598.75	1205.5	741.35	525.06	0.2362,0.2138,0.2109,0.3435
sym_mig	Round_3_Replicate_35	-597.92	1203.84	750.56	537.95	0.2137,0.2008,0.1593,0.2834
